interval_id,candidate_id,trigger_time,trigger_epoch_s,coincidence_score,threshold,coincidence_block_count,block_support_count_at_declared_ratio,block_characteristic_support_threshold,usable_block_count,total_registered_block_count,minimum_required_strong_block_count,passes_frozen_v2_support_gate,candidate_generation_label,network_candidate_time_fields_read,catalog_event_time_fields_read,family_label_fields_read,family_assignment
heldout_01,das_v1_heldout_01_0025,2024-05-27T17:15:07.499Z,1716830107.4998,1.8089452981948853,1.5075535774230957,4,2,2.0,10,10,4,False,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_01,das_v1_heldout_01_0026,2024-05-27T17:15:26.299Z,1716830126.2998,2.0253076553344727,1.5075535774230957,4,4,2.0,10,10,4,True,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_01,das_v1_heldout_01_0027,2024-05-27T17:17:04.249Z,1716830224.2498,1.5420982837677002,1.5075535774230957,4,1,2.0,10,10,4,False,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_01,das_v1_heldout_01_0028,2024-05-27T17:17:24.899Z,1716830244.8998,2.0828657150268555,1.5075535774230957,4,5,2.0,10,10,4,True,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_01,das_v1_heldout_01_0029,2024-05-27T17:18:18.099Z,1716830298.0998,2.256990671157837,1.5075535774230957,4,7,2.0,10,10,4,True,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_01,das_v1_heldout_01_0030,2024-05-27T17:21:00.399Z,1716830460.3998,2.3517775535583496,1.5075535774230957,4,5,2.0,10,10,4,True,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_01,das_v1_heldout_01_0031,2024-05-27T17:22:54.049Z,1716830574.0498,1.6586763858795166,1.5075535774230957,4,0,2.0,10,10,4,False,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_01,das_v1_heldout_01_0032,2024-05-27T17:23:06.449Z,1716830586.4498,1.5290718078613281,1.5075535774230957,4,0,2.0,10,10,4,False,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_01,das_v1_heldout_01_0033,2024-05-27T17:23:29.549Z,1716830609.5498,1.863962173461914,1.5075535774230957,4,2,2.0,10,10,4,False,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_01,das_v1_heldout_01_0034,2024-05-27T17:24:57.199Z,1716830697.1998,1.7378101348876953,1.5075535774230957,4,0,2.0,10,10,4,False,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_01,das_v1_heldout_01_0035,2024-05-27T17:25:10.249Z,1716830710.2498,2.0720839500427246,1.5075535774230957,4,4,2.0,10,10,4,True,heldout_DAS_base_v1_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
