replicate,bank_maximum_score
1,0.08662952482700348
2,0.10226412862539291
3,0.09018524736166
4,0.10189513862133026
5,0.08625688403844833
6,0.09838470071554184
7,0.08858656138181686
8,0.10571561753749847
9,0.09475308656692505
10,0.10883580148220062
11,0.09703236818313599
12,0.09485947340726852
13,0.10186927765607834
14,0.10011601448059082
15,0.11905128508806229
16,0.0942661240696907
17,0.08624764531850815
18,0.09566737711429596
19,0.08977817744016647
20,0.09748344123363495
21,0.08866231143474579
22,0.09787617623806
23,0.09803198277950287
24,0.09105340391397476
25,0.09182117134332657
26,0.10054344683885574
27,0.09083244204521179
28,0.09629408270120621
29,0.10733211040496826
30,0.10363329201936722
31,0.1011015996336937
32,0.08921907842159271
33,0.0923830196261406
34,0.09029147773981094
35,0.10410815477371216
36,0.0892605409026146
37,0.09252926707267761
38,0.0909632071852684
39,0.09962255507707596
40,0.10986120253801346
41,0.09669514745473862
42,0.10228284448385239
43,0.09948975592851639
44,0.09670182317495346
45,0.10197573155164719
46,0.0936853364109993
47,0.09278784692287445
48,0.08784596621990204
49,0.09110978990793228
50,0.09304248541593552
51,0.09112506359815598
52,0.10605631023645401
53,0.09832068532705307
54,0.09485022723674774
55,0.10157269239425659
56,0.1001707911491394
57,0.11210676282644272
58,0.09005672484636307
59,0.10135097801685333
60,0.11301418393850327
61,0.09919744729995728
62,0.10477178543806076
63,0.08636712282896042
64,0.09216613322496414
65,0.10652001202106476
66,0.09057559072971344
67,0.08987654000520706
68,0.097260020673275
69,0.08857685327529907
70,0.08928529173135757
71,0.09163378179073334
72,0.08603370189666748
73,0.08647853136062622
74,0.09047084301710129
75,0.10219115763902664
76,0.08956700563430786
77,0.08479290455579758
78,0.09492374211549759
79,0.08304459601640701
80,0.08803524821996689
81,0.09800533950328827
82,0.10349860787391663
83,0.10485977679491043
84,0.09065397828817368
85,0.10218272358179092
86,0.09402736276388168
87,0.10517938435077667
88,0.09605260193347931
89,0.09298814833164215
90,0.09633714705705643
91,0.0914614126086235
92,0.08841406553983688
93,0.10236114263534546
94,0.08849843591451645
95,0.09044991433620453
96,0.1028365045785904
97,0.09583956748247147
98,0.09632670879364014
99,0.09523237496614456
