candidate_id,trigger_time,trigger_epoch_s,coincidence_score,threshold,coincidence_station_count,station_support_count_at_declared_ratio,station_characteristic_support_threshold,candidate_generation_label,catalog_association_scope,nearest_catalog_event_id,nearest_catalog_origin_time,catalog_time_residual_s,catalog_association,background_catalog_association,background_catalog_event_id,background_catalog_origin_time,background_catalog_location_name,background_catalog_magnitude,background_catalog_horizontal_distance_km,background_catalog_path_distance_km,background_catalog_observed_delay_s,background_catalog_nominal_arrival_s,background_catalog_nominal_timing_residual_s,background_catalog_plausible_match_count
network_generic_dev_0001,2025-01-20T05:14:13.350Z,1737350053.35,3.5862839221954346,1.5937319993972778,4,6,2.0,generic_network_candidate_not_origin_or_family_truth,parkfield_target_region_archive_catalog,75120101,2025-01-20T05:14:48.490Z,-35.140000104904175,outside_tolerance,physically_plausible_known_event_arrival,75120096,2025-01-20T05:13:45.010Z,"Carpinteria, CA",2.3,197.19945589572728,197.27866966697357,28.33999991416931,32.879778277828926,-4.5397783636596145,1
network_generic_dev_0002,2025-01-20T05:14:50.850Z,1737350090.85,3.3636837005615234,1.5937319993972778,4,5,2.0,generic_network_candidate_not_origin_or_family_truth,parkfield_target_region_archive_catalog,75120101,2025-01-20T05:14:48.490Z,2.359999895095825,within_tolerance,physically_plausible_known_event_arrival,75120101,2025-01-20T05:14:48.490Z,"Bradley, CA",1.0,0.10729776174163695,3.9114719492378778,2.359999895095825,0.6519119915396463,1.708087903556179,2
network_generic_dev_0003,2025-01-20T05:24:31.150Z,1737350671.15,4.4431562423706055,1.5937319993972778,4,5,2.0,generic_network_candidate_not_origin_or_family_truth,parkfield_target_region_archive_catalog,75120116,2025-01-20T05:24:29.130Z,2.0199999809265137,within_tolerance,physically_plausible_known_event_arrival,75120116,2025-01-20T05:24:29.130Z,"Bradley, CA",2.1,0.029792546611089172,4.2701039326734875,2.0199999809265137,0.7116839887789146,1.308315992147599,1
