origin_time,bank_score,threshold,best_template_event_id,best_template_sequence_id
2025-01-20T04:55:00.000Z,0.0215048398822546,0.10883580148220062,21204713,R1.0697.5199.0
2025-01-20T04:55:00.500Z,0.03273062780499458,0.10883580148220062,72154411,R1.2900.11955.0
2025-01-20T04:55:01.000Z,0.02642008475959301,0.10883580148220062,40220017,R1.3027.11698.0
2025-01-20T04:55:01.500Z,0.04065189138054848,0.10883580148220062,71908906,R1.2900.11955.0
2025-01-20T04:55:02.000Z,0.0034452120307832956,0.10883580148220062,72154411,R1.2900.11955.0
2025-01-20T04:55:02.500Z,0.02415323443710804,0.10883580148220062,21204713,R1.0697.5199.0
2025-01-20T04:55:03.000Z,0.028866037726402283,0.10883580148220062,72359026,R1.2900.11955.0
2025-01-20T04:55:03.500Z,0.0247357077896595,0.10883580148220062,71325295,R1.2900.11955.0
2025-01-20T04:55:04.000Z,0.03386910259723663,0.10883580148220062,72359026,R1.2900.11955.0
2025-01-20T04:55:04.500Z,0.034265514463186264,0.10883580148220062,72359026,R1.2900.11955.0
2025-01-20T04:55:05.000Z,0.028777578845620155,0.10883580148220062,71908906,R1.2900.11955.0
2025-01-20T04:55:05.500Z,0.01019479800015688,0.10883580148220062,72154411,R1.2900.11955.0
2025-01-20T04:55:06.000Z,0.027560647577047348,0.10883580148220062,21204713,R1.0697.5199.0
2025-01-20T04:55:06.500Z,0.005713295191526413,0.10883580148220062,21204713,R1.0697.5199.0
2025-01-20T04:55:07.000Z,0.02202184870839119,0.10883580148220062,51214531,R1.2900.11955.0
2025-01-20T04:55:07.500Z,0.011329082772135735,0.10883580148220062,51214531,R1.2900.11955.0
2025-01-20T04:55:08.000Z,0.023210056126117706,0.10883580148220062,21204713,R1.0697.5199.0
2025-01-20T04:55:08.500Z,0.015408553183078766,0.10883580148220062,40220017,R1.3027.11698.0
2025-01-20T04:55:09.000Z,0.022700337693095207,0.10883580148220062,51214531,R1.2900.11955.0
2025-01-20T04:55:09.500Z,0.03063768334686756,0.10883580148220062,71908906,R1.2900.11955.0
2025-01-20T04:55:10.000Z,0.019658150151371956,0.10883580148220062,71908906,R1.2900.11955.0
2025-01-20T04:55:10.500Z,0.009164211340248585,0.10883580148220062,51214531,R1.2900.11955.0
2025-01-20T04:55:11.000Z,0.029256243258714676,0.10883580148220062,51214531,R1.2900.11955.0
2025-01-20T04:55:11.500Z,0.03666181117296219,0.10883580148220062,71325295,R1.2900.11955.0
2025-01-20T04:55:12.000Z,0.02673368901014328,0.10883580148220062,21212835,R1.2172.7737.0
2025-01-20T04:55:12.500Z,0.027931926771998405,0.10883580148220062,21204713,R1.0697.5199.0
