candidate_id,origin_time,origin_epoch_s,bank_score,threshold,best_template_event_id,best_template_sequence_id,best_template_score,best_template_station_count,station_support_count_at_0p2,candidate_generation_label,catalog_association_scope,nearest_catalog_event_id,nearest_catalog_origin_time,catalog_time_residual_s,catalog_association
network_dev_0001,2025-01-20T05:14:48.750Z,1737350088.75,0.12809595465660095,0.10883580148220062,72359026,R1.2900.11955.0,0.12809595465660095,9,2,network_repeater_template_bank_candidate_not_family_truth,parkfield_target_region_archive_catalog,75120101,2025-01-20T05:14:48.490Z,0.25999999046325684,within_tolerance
network_dev_0002,2025-01-20T05:24:29.100Z,1737350669.1,0.14153945446014404,0.10883580148220062,40237728,R1.3027.11698.0,0.14153945446014404,9,3,network_repeater_template_bank_candidate_not_family_truth,parkfield_target_region_archive_catalog,75120116,2025-01-20T05:24:29.130Z,-0.03000020980834961,within_tolerance
