replicate,generic_maximum_coincidence_score
1,1.53168785572052
2,1.3411424160003662
3,1.4385669231414795
4,1.4211785793304443
5,1.3909809589385986
6,1.4780523777008057
7,1.4469938278198242
8,1.4227917194366455
9,1.4070324897766113
10,1.396185278892517
11,1.3775434494018555
12,1.3776445388793945
13,1.3490631580352783
14,1.3890578746795654
15,1.4523916244506836
16,1.4121911525726318
17,1.389177680015564
18,1.5065882205963135
19,1.418459177017212
20,1.3453881740570068
21,1.3368264436721802
22,1.3782882690429688
23,1.5915590524673462
24,1.3844949007034302
25,1.3716237545013428
26,1.3780499696731567
27,1.540186882019043
28,1.4124642610549927
29,1.3985222578048706
30,1.3332862854003906
31,1.4147695302963257
32,1.3618319034576416
33,1.5937319993972778
34,1.4517656564712524
35,1.5487022399902344
36,1.379888892173767
37,1.4598054885864258
38,1.4378234148025513
39,1.4052773714065552
40,1.3858152627944946
41,1.4078269004821777
42,1.3359684944152832
43,1.647554636001587
44,1.5915590524673462
45,1.4608173370361328
46,1.3562339544296265
47,1.3942806720733643
48,1.4273420572280884
49,1.3638595342636108
50,1.7358717918395996
51,1.4289377927780151
52,1.383773684501648
53,1.4256091117858887
54,1.4147573709487915
55,1.3919733762741089
56,1.4620007276535034
57,1.3555413484573364
58,1.4503065347671509
59,1.574216365814209
60,1.424179196357727
61,1.3649559020996094
62,1.4842524528503418
63,1.4031636714935303
64,1.3731293678283691
65,1.3726807832717896
66,1.4504443407058716
67,1.397900104522705
68,1.3535187244415283
69,1.403435468673706
70,1.3906946182250977
71,1.442740559577942
72,1.533203125
73,1.389158010482788
74,1.4475668668746948
75,1.406719446182251
76,1.3232131004333496
77,1.4728680849075317
78,1.4500455856323242
79,1.4082294702529907
80,1.488413691520691
81,1.3909565210342407
82,1.6086807250976562
83,1.3864259719848633
84,1.372458577156067
85,1.4893414974212646
86,1.3823292255401611
87,1.4526467323303223
88,1.405332088470459
89,1.43732750415802
90,1.6208420991897583
91,1.4217530488967896
92,1.3985222578048706
93,1.4755645990371704
94,1.4587875604629517
95,1.3804314136505127
96,1.3271551132202148
97,1.520918607711792
98,1.3834549188613892
99,1.489972472190857
