trial_id,injected_event_id,injected_sequence_id,injected_validation_role,position_index,injection_origin_time,injection_origin_epoch_s,amplitude_snr,zero_amplitude_control,injected_component_count,template_self_excluded,template_recovered,template_peak_score,template_threshold,template_peak_origin_residual_s,template_candidate_origin_residual_s,template_best_event_id,template_best_sequence_id,generic_recovered,generic_peak_score,generic_threshold,generic_peak_trigger_residual_s,generic_candidate_trigger_residual_s
network_injection_00001,21204713,R1.0697.5199.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,0.0,True,20,True,False,0.044230617582798004,0.10883580148220062,0.9500000476837158,,21212835,R1.2172.7737.0,False,1.2150527238845825,1.5937319993972778,6.25,
network_injection_00002,21204713,R1.0697.5199.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,0.25,False,20,True,True,0.19712497293949127,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.201156497001648,1.5937319993972778,6.299999952316284,
network_injection_00003,21204713,R1.0697.5199.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,0.5,False,20,True,True,0.3650481700897217,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.3169519901275635,1.5937319993972778,5.5,
network_injection_00004,21204713,R1.0697.5199.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,1.0,False,20,True,True,0.5816065669059753,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.41029691696167,1.5937319993972778,4.049999952316284,
network_injection_00005,21204713,R1.0697.5199.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,2.0,False,20,True,True,0.7413304448127747,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,1.7985111474990845,1.5937319993972778,3.450000047683716,3.450000047683716
network_injection_00006,21204713,R1.0697.5199.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,4.0,False,20,True,True,0.8059080839157104,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,2.4922804832458496,1.5937319993972778,3.200000047683716,3.200000047683716
network_injection_00007,21204713,R1.0697.5199.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,0.0,True,20,True,False,0.039794668555259705,0.10883580148220062,0.34999990463256836,,21212835,R1.2172.7737.0,False,1.2267879247665405,1.5937319993972778,10.799999952316284,
network_injection_00008,21204713,R1.0697.5199.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,0.25,False,20,True,True,0.23636333644390106,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.1878724098205566,1.5937319993972778,2.799999952316284,
network_injection_00009,21204713,R1.0697.5199.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,0.5,False,20,True,True,0.4053524136543274,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.244735836982727,1.5937319993972778,5.599999904632568,
network_injection_00010,21204713,R1.0697.5199.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,1.0,False,20,True,True,0.6076972484588623,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,1.6877515316009521,1.5937319993972778,5.400000095367432,5.400000095367432
network_injection_00011,21204713,R1.0697.5199.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,2.0,False,20,True,True,0.7497361302375793,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,2.205436944961548,1.5937319993972778,5.400000095367432,5.400000095367432
network_injection_00012,21204713,R1.0697.5199.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,4.0,False,20,True,True,0.8080599904060364,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,2.48779034614563,1.5937319993972778,3.1500000953674316,3.1500000953674316
network_injection_00013,21204713,R1.0697.5199.0,neighbor_family_negative,3,2025-01-20T05:29:28.148Z,1737350968.148039,0.0,True,20,True,False,0.0504755899310112,0.10883580148220062,0.20000004768371582,,71567810,R1.2900.11955.0,False,1.1949514150619507,1.5937319993972778,0.6500000953674316,
network_injection_00014,21204713,R1.0697.5199.0,neighbor_family_negative,3,2025-01-20T05:29:28.148Z,1737350968.148039,0.25,False,20,True,True,0.19973905384540558,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.195812702178955,1.5937319993972778,0.6500000953674316,
network_injection_00015,21204713,R1.0697.5199.0,neighbor_family_negative,3,2025-01-20T05:29:28.148Z,1737350968.148039,0.5,False,20,True,True,0.3723927140235901,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.2904659509658813,1.5937319993972778,5.650000095367432,
network_injection_00016,21204713,R1.0697.5199.0,neighbor_family_negative,3,2025-01-20T05:29:28.148Z,1737350968.148039,1.0,False,20,True,True,0.5863369703292847,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.5591222047805786,1.5937319993972778,5.450000047683716,
network_injection_00017,21204713,R1.0697.5199.0,neighbor_family_negative,3,2025-01-20T05:29:28.148Z,1737350968.148039,2.0,False,20,True,True,0.7426847219467163,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,2.1371545791625977,1.5937319993972778,5.400000095367432,5.400000095367432
network_injection_00018,21204713,R1.0697.5199.0,neighbor_family_negative,3,2025-01-20T05:29:28.148Z,1737350968.148039,4.0,False,20,True,True,0.8038291931152344,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,2.431626558303833,1.5937319993972778,3.25,3.25
network_injection_00019,21204713,R1.0697.5199.0,neighbor_family_negative,4,2025-01-20T05:36:13.697Z,1737351373.6976523,0.0,True,20,True,False,0.05676957964897156,0.10883580148220062,0.5499999523162842,,21212835,R1.2172.7737.0,False,1.1635977029800415,1.5937319993972778,4.700000047683716,
network_injection_00020,21204713,R1.0697.5199.0,neighbor_family_negative,4,2025-01-20T05:36:13.697Z,1737351373.6976523,0.25,False,20,True,True,0.16692236065864563,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.2326395511627197,1.5937319993972778,4.650000095367432,
network_injection_00021,21204713,R1.0697.5199.0,neighbor_family_negative,4,2025-01-20T05:36:13.697Z,1737351373.6976523,0.5,False,20,True,True,0.33580297231674194,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.268486738204956,1.5937319993972778,6.200000047683716,
network_injection_00022,21204713,R1.0697.5199.0,neighbor_family_negative,4,2025-01-20T05:36:13.697Z,1737351373.6976523,1.0,False,20,True,True,0.5614115595817566,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,1.7896521091461182,1.5937319993972778,5.549999952316284,5.549999952316284
network_injection_00023,21204713,R1.0697.5199.0,neighbor_family_negative,4,2025-01-20T05:36:13.697Z,1737351373.6976523,2.0,False,20,True,True,0.725843608379364,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,2.412932872772217,1.5937319993972778,5.349999904632568,5.349999904632568
network_injection_00024,21204713,R1.0697.5199.0,neighbor_family_negative,4,2025-01-20T05:36:13.697Z,1737351373.6976523,4.0,False,20,True,True,0.7972015142440796,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,2.5769941806793213,1.5937319993972778,5.349999904632568,5.349999904632568
network_injection_00025,21204713,R1.0697.5199.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,0.0,True,20,True,False,0.05036740377545357,0.10883580148220062,-0.9500000476837158,,21212835,R1.2172.7737.0,False,1.2533529996871948,1.5937319993972778,4.799999952316284,
network_injection_00026,21204713,R1.0697.5199.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,0.25,False,20,True,True,0.1806139200925827,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.2317510843276978,1.5937319993972778,4.799999952316284,
network_injection_00027,21204713,R1.0697.5199.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,0.5,False,20,True,True,0.3448050618171692,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,False,1.3328173160552979,1.5937319993972778,4.700000047683716,
network_injection_00028,21204713,R1.0697.5199.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,1.0,False,20,True,True,0.5622943043708801,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,1.7977834939956665,1.5937319993972778,5.450000047683716,5.450000047683716
network_injection_00029,21204713,R1.0697.5199.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,2.0,False,20,True,True,0.7297015190124512,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,1.8351582288742065,1.5937319993972778,3.4000000953674316,3.4000000953674316
network_injection_00030,21204713,R1.0697.5199.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,4.0,False,20,True,True,0.8009366989135742,0.10883580148220062,0.15000009536743164,0.15000009536743164,21212835,R1.2172.7737.0,True,2.478736639022827,1.5937319993972778,3.1500000953674316,3.1500000953674316
network_injection_00031,21212835,R1.2172.7737.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,0.0,True,16,True,False,0.041493844240903854,0.10883580148220062,-0.09999990463256836,,51214531,R1.2900.11955.0,False,1.2150527238845825,1.5937319993972778,6.25,
network_injection_00032,21212835,R1.2172.7737.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,0.25,False,16,True,True,0.14919084310531616,0.10883580148220062,-0.15000009536743164,-0.15000009536743164,21204713,R1.0697.5199.0,False,1.2150527238845825,1.5937319993972778,6.25,
network_injection_00033,21212835,R1.2172.7737.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,0.5,False,16,True,True,0.3019787073135376,0.10883580148220062,-0.15000009536743164,-0.15000009536743164,21204713,R1.0697.5199.0,False,1.249372959136963,1.5937319993972778,5.349999904632568,
network_injection_00034,21212835,R1.2172.7737.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,1.0,False,16,True,True,0.505898118019104,0.10883580148220062,-0.15000009536743164,-0.15000009536743164,21204713,R1.0697.5199.0,False,1.3579764366149902,1.5937319993972778,5.200000047683716,
network_injection_00035,21212835,R1.2172.7737.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,2.0,False,16,True,True,0.6562255620956421,0.10883580148220062,-0.15000009536743164,-0.15000009536743164,21204713,R1.0697.5199.0,True,1.6759941577911377,1.5937319993972778,5.200000047683716,5.200000047683716
network_injection_00036,21212835,R1.2172.7737.0,neighbor_family_negative,1,2025-01-20T04:56:04.449Z,1737348964.44995,4.0,False,16,True,True,0.7120319604873657,0.10883580148220062,-0.15000009536743164,-0.15000009536743164,21204713,R1.0697.5199.0,True,1.983659267425537,1.5937319993972778,3.25,3.25
network_injection_00037,21212835,R1.2172.7737.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,0.0,True,16,True,False,0.04757314547896385,0.10883580148220062,-0.2999999523162842,,21204713,R1.0697.5199.0,False,1.2267879247665405,1.5937319993972778,10.799999952316284,
network_injection_00038,21212835,R1.2172.7737.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,0.25,False,16,True,True,0.20528846979141235,0.10883580148220062,-0.15000009536743164,-0.15000009536743164,21204713,R1.0697.5199.0,False,1.2148152589797974,1.5937319993972778,2.799999952316284,
network_injection_00039,21212835,R1.2172.7737.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,0.5,False,16,True,True,0.35436564683914185,0.10883580148220062,-0.15000009536743164,-0.15000009536743164,21204713,R1.0697.5199.0,False,1.314391016960144,1.5937319993972778,7.75,
network_injection_00040,21212835,R1.2172.7737.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,1.0,False,16,True,True,0.537773847579956,0.10883580148220062,-0.15000009536743164,-0.15000009536743164,21204713,R1.0697.5199.0,True,1.6279081106185913,1.5937319993972778,5.75,5.75
network_injection_00041,21212835,R1.2172.7737.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,2.0,False,16,True,True,0.6587949991226196,0.10883580148220062,-0.15000009536743164,-0.15000009536743164,21204713,R1.0697.5199.0,True,2.076631546020508,1.5937319993972778,5.299999952316284,5.299999952316284
network_injection_00042,21212835,R1.2172.7737.0,neighbor_family_negative,2,2025-01-20T05:15:51.898Z,1737350151.8988175,4.0,False,16,True,True,0.7082958221435547,0.10883580148220062,-0.15000009536743164,-0.15000009536743164,21204713,R1.0697.5199.0,True,2.2256429195404053,1.5937319993972778,5.650000095367432,5.650000095367432
