block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.017869187352310467,12,PASS
1,90,175,90,175,18,18,0.011872092596349804,12,PASS
2,180,265,180,265,18,18,0.014802683948595474,12,PASS
3,270,355,270,355,18,18,0.01274035899296265,12,PASS
4,360,445,360,445,18,18,0.009046527542245757,12,PASS
5,450,535,450,535,18,18,0.00936096621431715,12,PASS
6,540,625,540,625,18,18,0.020600359721606024,12,PASS
7,630,715,630,715,18,18,0.012424773755631027,12,PASS
8,720,805,720,805,18,18,0.009731540576481804,12,PASS
9,810,895,810,895,18,18,0.013050768984143993,12,PASS
