block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.011028535277743463,12,PASS
1,90,175,90,175,18,18,0.0026391098863977934,12,PASS
2,180,265,180,265,18,18,0.0028275037518328988,12,PASS
3,270,355,270,355,18,18,0.002852160984403754,12,PASS
4,360,445,360,445,18,18,0.0027758274645655824,12,PASS
5,450,535,450,535,18,18,0.0027263363025317525,12,PASS
6,540,625,540,625,18,18,0.0030843317815317586,12,PASS
7,630,715,630,715,18,18,0.0032270731263322793,12,PASS
8,720,805,720,805,18,18,0.003437117258367807,12,PASS
9,810,895,810,895,18,18,0.003417898235776454,12,PASS
