column_index,locus_index,filtered_rms_phase_rad,finite,nonzero,usable,reason,amplitude_based_selection_used
0,0,0.11938866231760929,True,True,True,,False
5,5,0.12011739858951474,True,True,True,,False
10,10,0.12824380647786973,True,True,True,,False
15,15,0.028832150305953947,True,True,True,,False
20,20,0.02321686313173102,True,True,True,,False
25,25,0.02062901411786613,True,True,True,,False
30,30,0.015599176956162126,True,True,True,,False
35,35,0.008744942755407924,True,True,True,,False
40,40,0.010936136084202776,True,True,True,,False
45,45,0.011120934471284151,True,True,True,,False
50,50,0.013448740957248255,True,True,True,,False
55,55,0.009826591931467987,True,True,True,,False
60,60,0.007298290855619408,True,True,True,,False
65,65,0.007329735248317359,True,True,True,,False
70,70,0.009098507042806203,True,True,True,,False
75,75,0.00668692549716375,True,True,True,,False
80,80,0.005854054481188266,True,True,True,,False
85,85,0.003817784711332778,True,True,True,,False
90,90,0.003166727526254232,True,True,True,,False
95,95,0.0032186258352385035,True,True,True,,False
100,100,0.0026888463844644806,True,True,True,,False
105,105,0.0028362324608163215,True,True,True,,False
110,110,0.0025216048132095117,True,True,True,,False
115,115,0.002657580561800234,True,True,True,,False
120,120,0.002451400815031215,True,True,True,,False
125,125,0.0027048998480726383,True,True,True,,False
130,130,0.002588373321955248,True,True,True,,False
135,135,0.0026489413730597174,True,True,True,,False
140,140,0.002454342855716576,True,True,True,,False
145,145,0.002628246693348773,True,True,True,,False
150,150,0.0025625761012810816,True,True,True,,False
155,155,0.00268445976492478,True,True,True,,False
160,160,0.0025306912164681965,True,True,True,,False
165,165,0.002629278399735869,True,True,True,,False
170,170,0.002925178127909292,True,True,True,,False
175,175,0.0026004311272482534,True,True,True,,False
180,180,0.0029200050801828953,True,True,True,,False
185,185,0.00284714492070836,True,True,True,,False
190,190,0.002658747649425141,True,True,True,,False
195,195,0.00273506331914671,True,True,True,,False
200,200,0.0025819382167382374,True,True,True,,False
205,205,0.0029009524700061517,True,True,True,,False
210,210,0.002623301352907528,True,True,True,,False
215,215,0.002557962819198099,True,True,True,,False
220,220,0.0035542251587179084,True,True,True,,False
225,225,0.0028003589629903222,True,True,True,,False
230,230,0.0034445196384342894,True,True,True,,False
235,235,0.0028078625829574375,True,True,True,,False
240,240,0.002722332631006551,True,True,True,,False
245,245,0.0031966195921790137,True,True,True,,False
250,250,0.002950948744010634,True,True,True,,False
255,255,0.0027083568971211737,True,True,True,,False
260,260,0.002941513416531848,True,True,True,,False
265,265,0.003121097945266524,True,True,True,,False
270,270,0.0029968555069654363,True,True,True,,False
275,275,0.003011419907140483,True,True,True,,False
280,280,0.002990643534840228,True,True,True,,False
285,285,0.002633063315361087,True,True,True,,False
290,290,0.0029301165451846123,True,True,True,,False
295,295,0.0029640215900465154,True,True,True,,False
300,300,0.0025095014284534757,True,True,True,,False
305,305,0.0027528278403320056,True,True,True,,False
310,310,0.0026670006870844775,True,True,True,,False
315,315,0.003071472931312086,True,True,True,,False
320,320,0.002539530549399938,True,True,True,,False
325,325,0.0027513229575845525,True,True,True,,False
330,330,0.0033471781877704603,True,True,True,,False
335,335,0.002726569668041461,True,True,True,,False
340,340,0.0029353878136548516,True,True,True,,False
345,345,0.0026715001961728473,True,True,True,,False
350,350,0.002810878678214427,True,True,True,,False
355,355,0.0028934432905930807,True,True,True,,False
360,360,0.0028052349104790712,True,True,True,,False
365,365,0.0027737594233260485,True,True,True,,False
370,370,0.0027778955058051164,True,True,True,,False
375,375,0.0026877448315387976,True,True,True,,False
380,380,0.002719030530861237,True,True,True,,False
385,385,0.0029337261236020875,True,True,True,,False
390,390,0.002865816367637813,True,True,True,,False
395,395,0.002785893642158868,True,True,True,,False
400,400,0.002842918924689035,True,True,True,,False
405,405,0.002682821014897381,True,True,True,,False
410,410,0.0028072932301225315,True,True,True,,False
415,415,0.0026277886091984498,True,True,True,,False
420,420,0.0029219973359322113,True,True,True,,False
425,425,0.0027266779933620673,True,True,True,,False
430,430,0.0025565310569019843,True,True,True,,False
435,435,0.002557210270430973,True,True,True,,False
440,440,0.002626455566695086,True,True,True,,False
445,445,0.0028197821274906073,True,True,True,,False
