block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.006445606658205809,12,PASS
1,90,175,90,175,18,18,0.00460657605005518,12,PASS
2,180,265,180,265,18,18,0.005238946225851448,12,PASS
3,270,355,270,355,18,18,0.005646587897610816,12,PASS
4,360,445,360,445,18,18,0.005687135827777742,12,PASS
5,450,535,450,535,18,18,0.005173780534600157,12,PASS
6,540,625,540,625,18,18,0.005434470840242321,12,PASS
7,630,715,630,715,18,18,0.005321277813481443,12,PASS
8,720,805,720,805,18,18,0.005671966890566085,12,PASS
9,810,895,810,895,18,18,0.005605854471425764,12,PASS
