block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.008251310421563357,12,PASS
1,90,175,90,175,18,18,0.006510049376989038,12,PASS
2,180,265,180,265,18,18,0.006123687571222489,12,PASS
3,270,355,270,355,18,18,0.006590579291084402,12,PASS
4,360,445,360,445,18,18,0.009507934430482253,12,PASS
5,450,535,450,535,18,18,0.008519335647720049,12,PASS
6,540,625,540,625,18,18,0.006294287240173875,12,PASS
7,630,715,630,715,18,18,0.008549969410326364,12,PASS
8,720,805,720,805,18,18,0.00638308128014703,12,PASS
9,810,895,810,895,18,18,0.007349895076495588,12,PASS
