comparison_candidate_id,interval_id,DAS_candidate_id,DAS_trigger_time,DAS_trigger_epoch_s,DAS_coincidence_score_frozen,DAS_v1_interval_null_threshold,raw_window_start_utc,raw_window_end_utc,raw_sample_rate_hz,raw_sample_count,raw_sampled_channel_count,raw_source_file_count,raw_missing_fraction,raw_maximum_gap_s,finite_fraction,raw_saturation_fraction,processed_sample_rate_hz,processed_sample_count,usable_sampled_channel_count,usable_block_count,recomputed_score_at_candidate,recomputed_score_max_pm_1s,score_above_frozen_threshold_duration_pm_1s,strong_block_count_at_candidate,strong_block_count_max_pm_1s,strong_block_support_duration_pm_1s,common_mode_variance_ratio_pm_1s,spatial_support_status,coverage_status,automated_artifact_status,manual_waveform_review_status,repeater_family_assignment
heldout_compare_0024,heldout_04,das_v2_heldout_04_0003,2024-06-18T12:18:20.316Z,1718713100.3162,2.148252010345459,1.5268930196762085,2024-06-18T12:18:05.316Z,2024-06-18T12:18:35.316Z,500.0,15000,180,1,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.148252010345459,2.152364492416382,0.58,5,5,0.29,1.0666504572526725,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
heldout_compare_0025,heldout_04,das_v2_heldout_04_0004,2024-06-18T12:18:50.016Z,1718713130.0162,2.003779411315918,1.5268930196762085,2024-06-18T12:18:35.016Z,2024-06-18T12:19:05.016Z,500.0,15000,180,2,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.0057735443115234,2.0206003189086914,0.6,4,4,0.05,1.101523535660973,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
heldout_compare_0026,heldout_04,das_v2_heldout_04_0005,2024-06-18T12:23:06.266Z,1718713386.2662,2.302556037902832,1.5268930196762085,2024-06-18T12:22:51.266Z,2024-06-18T12:23:21.266Z,500.0,15000,180,1,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.303457260131836,2.309898853302002,0.73,4,4,0.39,0.7848484649616383,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
heldout_compare_0027,heldout_04,das_v2_heldout_04_0006,2024-06-18T12:25:02.266Z,1718713502.2662,2.074012041091919,1.5268930196762085,2024-06-18T12:24:47.266Z,2024-06-18T12:25:17.266Z,500.0,15000,180,1,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.075267791748047,2.075267791748047,0.54,4,4,0.21,2.0336878618496548,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
heldout_compare_0028,heldout_04,das_v2_heldout_04_0007,2024-06-18T12:27:54.816Z,1718713674.8162,2.007589817047119,1.5268930196762085,2024-06-18T12:27:39.816Z,2024-06-18T12:28:09.816Z,500.0,15000,180,1,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.007589817047119,2.0150699615478516,0.55,4,4,0.05,1.528114762500426,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
heldout_compare_0029,heldout_04,das_v2_heldout_04_0008,2024-06-18T12:31:38.866Z,1718713898.8662,2.0743460655212402,1.5268930196762085,2024-06-18T12:31:23.866Z,2024-06-18T12:31:53.866Z,500.0,15000,180,2,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.0743460655212402,2.081122398376465,0.63,5,5,0.15,1.9122727407644222,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
heldout_compare_0030,heldout_04,das_v2_heldout_04_0009,2024-06-18T12:33:37.466Z,1718714017.4662,2.235687255859375,1.5268930196762085,2024-06-18T12:33:22.466Z,2024-06-18T12:33:52.466Z,500.0,15000,180,2,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.2339415550231934,2.2800002098083496,0.65,5,6,0.4,0.9783693429171574,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
heldout_compare_0032,heldout_04,das_v2_heldout_04_0010,2024-06-18T12:41:57.816Z,1718714517.8162,2.108741283416748,1.5268930196762085,2024-06-18T12:41:42.816Z,2024-06-18T12:42:12.816Z,500.0,15000,180,1,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.108741283416748,2.109170436859131,0.61,6,6,0.28,1.290007514694509,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
heldout_compare_0033,heldout_04,das_v2_heldout_04_0011,2024-06-18T12:45:21.366Z,1718714721.3662,2.011129379272461,1.5268930196762085,2024-06-18T12:45:06.366Z,2024-06-18T12:45:36.366Z,500.0,15000,180,2,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.011129379272461,2.011129379272461,0.53,4,4,0.03,0.8660941685162287,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
heldout_compare_0034,heldout_04,das_v2_heldout_04_0012,2024-06-18T12:48:05.116Z,1718714885.1162,2.1140971183776855,1.5268930196762085,2024-06-18T12:47:50.116Z,2024-06-18T12:48:20.116Z,500.0,15000,180,1,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.1140971183776855,2.118776798248291,0.67,5,5,0.17,0.997694339034635,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
heldout_compare_0035,heldout_04,das_v2_heldout_04_0013,2024-06-18T12:50:29.666Z,1718715029.6662,2.1067943572998047,1.5268930196762085,2024-06-18T12:50:14.666Z,2024-06-18T12:50:44.666Z,500.0,15000,180,2,0.0,0.002000093460083008,1.0,nan,100.0,3000,180,10,2.1067943572998047,2.1119942665100098,1.34,6,7,0.28,0.8537391048085461,PERSISTENT_BLOCK_SUPPORT_RECORDED,PASS,AUTOMATED_COVERAGE_PASS;SATURATION_NOT_ASSESSED_NO_DECLARED_INT32_LIMIT,PENDING_MANUAL_FIGURE_REVIEW,not_assigned
