comparison_candidate_id,interval_id,DAS_candidate_id,DAS_trigger_time,DAS_trigger_epoch_s,DAS_coincidence_score,DAS_strong_block_count,template_bank_score_at_DAS_time,template_network_threshold,template_network_above_frozen_threshold,nearest_network_score_time,DAS_minus_nearest_network_score_time_s,network_score_sample_offset_s,eligible_template_count,minimum_template_component_count,minimum_template_station_count,usable_network_component_count,usable_network_station_count,forced_network_score_status,generic_branch_status,catalog_adjudication_status,DAS_artifact_status,waveform_review_status,repeater_family_assignment
heldout_compare_0024,heldout_04,das_v2_heldout_04_0003,2024-06-18T12:18:20.316Z,1718713100.3162,2.148252010345459,5,0.019913317542523144,0.10883580148220062,False,1718713100.315,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
heldout_compare_0025,heldout_04,das_v2_heldout_04_0004,2024-06-18T12:18:50.016Z,1718713130.0162,2.003779411315918,4,0.03590878551559789,0.10883580148220062,False,1718713130.015,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
heldout_compare_0026,heldout_04,das_v2_heldout_04_0005,2024-06-18T12:23:06.266Z,1718713386.2662,2.302556037902832,4,0.022334626343633448,0.10883580148220062,False,1718713386.265,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
heldout_compare_0027,heldout_04,das_v2_heldout_04_0006,2024-06-18T12:25:02.266Z,1718713502.2662,2.074012041091919,4,0.055689974874258044,0.10883580148220062,False,1718713502.265,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
heldout_compare_0028,heldout_04,das_v2_heldout_04_0007,2024-06-18T12:27:54.816Z,1718713674.8162,2.007589817047119,4,0.004777775068456928,0.10883580148220062,False,1718713674.815,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
heldout_compare_0029,heldout_04,das_v2_heldout_04_0008,2024-06-18T12:31:38.866Z,1718713898.8662,2.0743460655212402,5,0.019249252858571708,0.10883580148220062,False,1718713898.865,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
heldout_compare_0030,heldout_04,das_v2_heldout_04_0009,2024-06-18T12:33:37.466Z,1718714017.4662,2.235687255859375,5,0.042667752131819725,0.10883580148220062,False,1718714017.4650002,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
heldout_compare_0032,heldout_04,das_v2_heldout_04_0010,2024-06-18T12:41:57.816Z,1718714517.8162,2.108741283416748,6,0.013302454991000039,0.10883580148220062,False,1718714517.815,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
heldout_compare_0033,heldout_04,das_v2_heldout_04_0011,2024-06-18T12:45:21.366Z,1718714721.3662,2.011129379272461,4,0.02815208079603811,0.10883580148220062,False,1718714721.365,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
heldout_compare_0034,heldout_04,das_v2_heldout_04_0012,2024-06-18T12:48:05.116Z,1718714885.1162,2.1140971183776855,5,0.02240796332868437,0.10883580148220062,False,1718714885.115,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
heldout_compare_0035,heldout_04,das_v2_heldout_04_0013,2024-06-18T12:50:29.666Z,1718715029.6662,2.1067943572998047,6,0.025265190936625003,0.10883580148220062,False,1718715029.665,0.001199960708618164,0.001199960708618164,10,12,5,21,7,PASS_FIXED_TEMPLATE_SCORE,COMPLETE_SEPARATE_OUTPUT,PENDING,PENDING,PENDING,not_assigned
