reference_event_id,comparison_event_id,band_low_hz,band_high_hz,usable_component_count,usable_station_count,median_correlation,p10_correlation,common_lag_s,differential_lag_rms_s,differential_lag_mad_s,station_lag_p10_p90_span_s,status,lag_definition
10088629,21088307,5.0,20.0,1,1,0.745718469275226,0.745718469275226,-0.25,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,21100860,5.0,20.0,1,1,0.7452150586135461,0.7452150586135461,-0.06,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,21204713,5.0,20.0,1,1,0.7513465462823055,0.7513465462823055,-0.07,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,21212835,5.0,20.0,1,1,0.7558617979027868,0.7558617979027868,-0.07,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,21260770,5.0,20.0,1,1,0.740792673591136,0.740792673591136,-0.08,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,21260771,5.0,20.0,1,1,0.7643399633136717,0.7643399633136717,-0.07,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,213203,5.0,20.0,1,1,0.7467909041302134,0.7467909041302134,0.22,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,30066019,5.0,20.0,1,1,0.7413846177804061,0.7413846177804061,0.16,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,40220017,5.0,20.0,1,1,0.742579549690732,0.742579549690732,0.08,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,40237728,5.0,20.0,1,1,0.7326549218589161,0.7326549218589161,-0.06,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,51214531,5.0,20.0,1,1,0.7583720042630612,0.7583720042630612,0.07,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,524545,5.0,20.0,1,1,0.5626541639269311,0.5626541639269311,-0.06,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,71325295,5.0,20.0,1,1,0.7458938572985468,0.7458938572985468,0.07,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,71567810,5.0,20.0,1,1,0.7210359658231945,0.7210359658231945,0.08,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,71908906,5.0,20.0,1,1,0.7449352054581925,0.7449352054581925,0.09,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
10088629,72359026,5.0,20.0,1,1,0.7459019831841993,0.7459019831841993,0.11,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,21100860,5.0,20.0,1,1,0.9655650592694,0.9655650592694,0.19,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,21204713,5.0,20.0,1,1,0.9728398662160409,0.9728398662160409,0.18,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,21212835,5.0,20.0,1,1,0.958728489797148,0.958728489797148,0.18,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,21260770,5.0,20.0,1,1,0.9580892197981415,0.9580892197981415,0.17,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,21260771,5.0,20.0,1,1,0.9598953811936404,0.9598953811936404,0.18,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,213203,5.0,20.0,1,1,0.965332797884057,0.965332797884057,0.47,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,30066019,5.0,20.0,1,1,0.8934169983760482,0.8934169983760482,0.41,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,40220017,5.0,20.0,1,1,0.9737702882717731,0.9737702882717731,0.2,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,40237728,5.0,20.0,1,1,0.9522022394319267,0.9522022394319267,0.19,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,51214531,5.0,20.0,1,1,0.9356164612425926,0.9356164612425926,0.19,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,524545,5.0,20.0,1,1,0.5736064515165474,0.5736064515165474,0.19,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,71325295,5.0,20.0,1,1,0.9569862838607864,0.9569862838607864,0.19,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,71567810,5.0,20.0,1,1,0.9779859682156292,0.9779859682156292,0.2,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,71908906,5.0,20.0,1,1,0.9541146916164188,0.9541146916164188,0.21,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21088307,72359026,5.0,20.0,1,1,0.913850530297603,0.913850530297603,0.22,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,21204713,5.0,20.0,1,1,0.9391134667086379,0.9391134667086379,-0.01,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,21212835,5.0,20.0,1,1,0.9821268473882915,0.9821268473882915,-0.01,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,21260770,5.0,20.0,1,1,0.9196165491030407,0.9196165491030407,-0.02,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,21260771,5.0,20.0,1,1,0.9765431879541923,0.9765431879541923,-0.01,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,213203,5.0,20.0,1,1,0.9454309920377735,0.9454309920377735,0.29,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,30066019,5.0,20.0,1,1,0.8738403991499522,0.8738403991499522,0.22,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,40220017,5.0,20.0,1,1,0.9473862109820336,0.9473862109820336,0.01,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,40237728,5.0,20.0,1,1,0.9194199948812045,0.9194199948812045,0.0,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,51214531,5.0,20.0,1,1,0.9087730583915643,0.9087730583915643,0.0,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,524545,5.0,20.0,1,1,0.5856742345899462,0.5856742345899462,0.01,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,71325295,5.0,20.0,1,1,0.9220459426222536,0.9220459426222536,0.0,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,71567810,5.0,20.0,1,1,0.9655761180423716,0.9655761180423716,0.01,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,71908906,5.0,20.0,1,1,0.9260444921315748,0.9260444921315748,0.02,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21100860,72359026,5.0,20.0,1,1,0.8932744439770344,0.8932744439770344,0.04,0.0,0.0,nan,STOP,station_median_peak_lag_minus_network_station_median
21204713,21212835,5.0,20.0,25,10,0.9194343897786269,0.7546105638905658,-0.022,0.01120714058089752,0.0020000000000000018,0.011999999999999993,PASS,station_median_peak_lag_minus_network_station_median
