replicate,maximum_score
1,1.3469195365905762
2,1.3301410675048828
3,1.3906314373016357
4,1.4053281545639038
5,1.3758957386016846
6,1.4566104412078857
7,1.328839659690857
8,1.331465482711792
9,1.3784621953964233
10,1.3471275568008423
11,1.2788481712341309
12,1.364488124847412
13,1.3380372524261475
14,1.3207876682281494
15,1.3053560256958008
16,1.3343313932418823
17,1.3283624649047852
18,1.3250592947006226
19,1.2989563941955566
20,1.3574421405792236
21,1.3150995969772339
22,1.3066434860229492
23,1.3234789371490479
24,1.3593608140945435
25,1.326869010925293
26,1.3045814037322998
27,1.3064906597137451
28,1.2848613262176514
29,1.3242335319519043
30,1.3522489070892334
31,1.3098218441009521
32,1.3488240242004395
33,1.3316885232925415
34,1.371891975402832
35,1.30670166015625
36,1.5363759994506836
37,1.3280233144760132
38,1.3150385618209839
39,1.3222260475158691
40,1.3326853513717651
41,1.3790497779846191
42,1.2989563941955566
43,1.3239614963531494
44,1.3080596923828125
45,1.3165700435638428
46,1.31826651096344
47,1.3377424478530884
48,1.321528434753418
49,1.393911361694336
50,1.3984453678131104
51,1.3840460777282715
52,1.297675371170044
53,1.2980420589447021
54,1.3133220672607422
55,1.284574270248413
56,1.3057280778884888
57,1.3406085968017578
58,1.3228133916854858
59,1.3187901973724365
60,1.34755539894104
61,1.3199121952056885
62,1.379197597503662
63,1.3792128562927246
64,1.3108654022216797
65,1.2848541736602783
66,1.3658764362335205
67,1.364668369293213
68,1.2993614673614502
69,1.3621532917022705
70,1.419924020767212
71,1.325951099395752
72,1.383843183517456
73,1.3449339866638184
74,1.3521934747695923
75,1.3518614768981934
76,1.3381257057189941
77,1.3614227771759033
78,1.310774803161621
79,1.305605173110962
80,1.2853866815567017
81,1.3048796653747559
82,1.3536341190338135
83,1.355288028717041
84,1.3387460708618164
85,1.275598406791687
86,1.3293635845184326
87,1.309049129486084
88,1.3819018602371216
89,1.3070576190948486
90,1.3101236820220947
91,1.3606910705566406
92,1.3142995834350586
93,1.300896406173706
94,1.3007400035858154
95,1.3465824127197266
96,1.4430774450302124
97,1.3436477184295654
98,1.3426573276519775
99,1.3166725635528564
100,1.5206563472747803
101,1.3355730772018433
102,1.3832886219024658
103,1.3333436250686646
104,1.352799415588379
105,1.3984489440917969
106,1.3415043354034424
107,1.3003783226013184
108,1.3170461654663086
109,1.3645268678665161
110,1.3552806377410889
111,1.3427765369415283
112,1.3784098625183105
113,1.3022010326385498
114,1.3929864168167114
115,1.376194715499878
116,1.4230613708496094
117,1.3264942169189453
118,1.3488847017288208
119,1.2924017906188965
120,1.395897388458252
121,1.3644382953643799
122,1.3616154193878174
123,1.2809851169586182
124,1.3605589866638184
125,1.3171155452728271
126,1.3133697509765625
127,1.4205424785614014
128,1.3259668350219727
129,1.354722499847412
130,1.3308992385864258
131,1.3338639736175537
132,1.2986984252929688
133,1.3534306287765503
134,1.3275279998779297
135,1.3345532417297363
136,1.344618797302246
137,1.2850446701049805
138,1.313189148902893
139,1.310150384902954
140,1.3558063507080078
141,1.3212085962295532
142,1.324885368347168
143,1.289313554763794
144,1.3606417179107666
145,1.3421554565429688
146,1.3429279327392578
147,1.3453079462051392
148,1.3845338821411133
149,1.2893041372299194
150,1.370553970336914
151,1.3450486660003662
152,1.3164657354354858
153,1.3002692461013794
154,1.3038592338562012
155,1.3032195568084717
156,1.3463932275772095
157,1.353452444076538
158,1.3386095762252808
159,1.3545573949813843
160,1.3699370622634888
161,1.2710590362548828
162,1.3779528141021729
163,1.363019585609436
164,1.3556721210479736
165,1.2937414646148682
166,1.3094053268432617
167,1.2924302816390991
168,1.3111319541931152
169,1.4352283477783203
170,1.327868938446045
171,1.2936761379241943
172,1.3097702264785767
173,1.3516895771026611
174,1.3007655143737793
175,1.2952089309692383
176,1.32472562789917
177,1.3359484672546387
178,1.3713171482086182
179,1.2911477088928223
180,1.2931663990020752
181,1.3511462211608887
182,1.3606691360473633
183,1.33616042137146
184,1.320638656616211
185,1.3152570724487305
186,1.298120379447937
187,1.322192668914795
188,1.3416987657546997
189,1.3380155563354492
190,1.2879549264907837
191,1.3896667957305908
192,1.3446390628814697
193,1.371598482131958
194,1.32467782497406
195,1.3212981224060059
196,1.352243423461914
197,1.3235447406768799
198,1.300896406173706
199,1.3330473899841309
