selection_index,path,manifest_start_utc,manifest_end_utc,sample_rate_hz,channel_count,gauge_length_m,file_exists,size_bytes,selection_basis,hdf5_file_opened,hdf5_dataset_opened
19,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T051206Z.h5,2025-01-20T05:12:06.083Z,2025-01-20T05:13:06.081Z,500.0,900,16.335237503051758,True,35129839,primary_configuration_and_padded_interval_only,False,False
20,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T051306Z.h5,2025-01-20T05:13:06.083Z,2025-01-20T05:14:06.081Z,500.0,900,16.335237503051758,True,35108483,primary_configuration_and_padded_interval_only,False,False
21,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T051406Z.h5,2025-01-20T05:14:06.083Z,2025-01-20T05:15:06.081Z,500.0,900,16.335237503051758,True,35284009,primary_configuration_and_padded_interval_only,False,False
22,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T051506Z.h5,2025-01-20T05:15:06.083Z,2025-01-20T05:16:06.081Z,500.0,900,16.335237503051758,True,35474591,primary_configuration_and_padded_interval_only,False,False
23,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T051606Z.h5,2025-01-20T05:16:06.083Z,2025-01-20T05:17:06.081Z,500.0,900,16.335237503051758,True,35526925,primary_configuration_and_padded_interval_only,False,False
24,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T051706Z.h5,2025-01-20T05:17:06.083Z,2025-01-20T05:18:06.081Z,500.0,900,16.335237503051758,True,35191592,primary_configuration_and_padded_interval_only,False,False
25,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T051806Z.h5,2025-01-20T05:18:06.083Z,2025-01-20T05:19:06.081Z,500.0,900,16.335237503051758,True,35372073,primary_configuration_and_padded_interval_only,False,False
26,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T051906Z.h5,2025-01-20T05:19:06.083Z,2025-01-20T05:20:06.081Z,500.0,900,16.335237503051758,True,35145497,primary_configuration_and_padded_interval_only,False,False
27,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052006Z.h5,2025-01-20T05:20:06.083Z,2025-01-20T05:21:06.081Z,500.0,900,16.335237503051758,True,35055572,primary_configuration_and_padded_interval_only,False,False
28,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052106Z.h5,2025-01-20T05:21:06.083Z,2025-01-20T05:22:06.081Z,500.0,900,16.335237503051758,True,35175130,primary_configuration_and_padded_interval_only,False,False
