trigger_time,trigger_epoch_s,coincidence_score,threshold,block_support_count_at_declared_ratio
2025-01-20T04:55:00.001Z,1737348900.0016,1.2290167808532715,1.3984489440917969,0
2025-01-20T04:55:00.501Z,1737348900.5016,1.0851011276245117,1.3984489440917969,0
2025-01-20T04:55:01.001Z,1737348901.0016,0.8850975036621094,1.3984489440917969,0
2025-01-20T04:55:01.501Z,1737348901.5016,0.9593389630317688,1.3984489440917969,0
2025-01-20T04:55:02.001Z,1737348902.0016,0.7664250135421753,1.3984489440917969,0
2025-01-20T04:55:02.501Z,1737348902.5016,0.869965672492981,1.3984489440917969,0
2025-01-20T04:55:03.001Z,1737348903.0016,0.8458156585693359,1.3984489440917969,0
2025-01-20T04:55:03.501Z,1737348903.5016,1.0371835231781006,1.3984489440917969,0
2025-01-20T04:55:04.001Z,1737348904.0016,0.8419821858406067,1.3984489440917969,0
2025-01-20T04:55:04.501Z,1737348904.5016,0.9390007257461548,1.3984489440917969,0
2025-01-20T04:55:05.001Z,1737348905.0016,1.154536485671997,1.3984489440917969,0
2025-01-20T04:55:05.501Z,1737348905.5016,0.8913694024085999,1.3984489440917969,0
2025-01-20T04:55:06.001Z,1737348906.0016,1.1506340503692627,1.3984489440917969,0
2025-01-20T04:55:06.501Z,1737348906.5016,0.9756351709365845,1.3984489440917969,0
2025-01-20T04:55:07.001Z,1737348907.0016,0.8406224250793457,1.3984489440917969,0
2025-01-20T04:55:07.501Z,1737348907.5016,1.1394896507263184,1.3984489440917969,0
2025-01-20T04:55:08.001Z,1737348908.0016,0.9673707485198975,1.3984489440917969,0
2025-01-20T04:55:08.501Z,1737348908.5016,1.292431354522705,1.3984489440917969,0
2025-01-20T04:55:09.001Z,1737348909.0016,0.978988766670227,1.3984489440917969,0
2025-01-20T04:55:09.501Z,1737348909.5016,0.7394940853118896,1.3984489440917969,0
2025-01-20T04:55:10.001Z,1737348910.0016,0.98637855052948,1.3984489440917969,0
2025-01-20T04:55:10.501Z,1737348910.5016,0.7579915523529053,1.3984489440917969,0
2025-01-20T04:55:11.001Z,1737348911.0016,0.9232403039932251,1.3984489440917969,0
2025-01-20T04:55:11.501Z,1737348911.5016,0.8856618404388428,1.3984489440917969,0
2025-01-20T04:55:12.001Z,1737348912.0016,0.8724676370620728,1.3984489440917969,0
2025-01-20T04:55:12.501Z,1737348912.5016,0.8090099096298218,1.3984489440917969,0
2025-01-20T04:55:13.001Z,1737348913.0016,0.935002326965332,1.3984489440917969,0
2025-01-20T04:55:13.501Z,1737348913.5016,0.8273752927780151,1.3984489440917969,0
2025-01-20T04:55:14.001Z,1737348914.0016,0.9374619126319885,1.3984489440917969,0
2025-01-20T04:55:14.501Z,1737348914.5016,0.8733198642730713,1.3984489440917969,0
2025-01-20T04:55:15.001Z,1737348915.0016,0.9391976594924927,1.3984489440917969,0
2025-01-20T04:55:15.501Z,1737348915.5016,0.9514648914337158,1.3984489440917969,0
2025-01-20T04:55:16.001Z,1737348916.0016,1.096470832824707,1.3984489440917969,0
2025-01-20T04:55:16.501Z,1737348916.5016,0.9564295411109924,1.3984489440917969,0
2025-01-20T04:55:17.001Z,1737348917.0016,1.2351990938186646,1.3984489440917969,0
2025-01-20T04:55:17.501Z,1737348917.5016,0.9666844010353088,1.3984489440917969,0
2025-01-20T04:55:18.001Z,1737348918.0016,1.2384510040283203,1.3984489440917969,0
2025-01-20T04:55:18.501Z,1737348918.5016,0.842100203037262,1.3984489440917969,0
2025-01-20T04:55:19.001Z,1737348919.0016,1.035976529121399,1.3984489440917969,0
