block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.014555596559031703,12,PASS
1,90,175,90,175,18,18,0.009039117667964548,12,PASS
2,180,265,180,265,18,18,0.011220580544192966,12,PASS
3,270,355,270,355,18,18,0.008396608871108203,12,PASS
4,360,445,360,445,18,18,0.009198897242891234,12,PASS
5,450,535,450,535,18,18,0.012997471825331484,12,PASS
6,540,625,540,625,18,18,0.009043934070200627,12,PASS
7,630,715,630,715,18,18,0.009017404482102916,12,PASS
8,720,805,720,805,18,18,0.010208591710812013,12,PASS
9,810,895,810,895,18,18,0.014311055866487269,12,PASS
