block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.008711650795949377,12,PASS
1,90,175,90,175,18,18,0.007561450883285691,12,PASS
2,180,265,180,265,18,18,0.006896922586279022,12,PASS
3,270,355,270,355,18,18,0.006615313160143991,12,PASS
4,360,445,360,445,18,18,0.0070536517609708594,12,PASS
5,450,535,450,535,18,18,0.00653389969333236,12,PASS
6,540,625,540,625,18,18,0.006888717668343321,12,PASS
7,630,715,630,715,18,18,0.007043597761591655,12,PASS
8,720,805,720,805,18,18,0.006953767492771625,12,PASS
9,810,895,810,895,18,18,0.008314142706004848,12,PASS
