segment_id,start_utc,end_utc,duration_s,manifest_record_count
68,2024-09-02T12:20:54.000Z,2024-09-02T12:20:54.078Z,0.07800006866455078,1
69,2024-09-02T12:20:55.000Z,2024-09-03T04:42:47.966Z,58912.96600008011,982
70,2024-09-17T17:53:34.178Z,2024-09-17T17:53:54.096Z,19.917999982833862,1
71,2024-09-17T17:53:54.122Z,2024-09-17T17:58:11.072Z,256.9500000476837,5
72,2024-09-17T17:58:12.000Z,2024-09-17T17:58:12.078Z,0.07800006866455078,1
73,2024-09-17T17:58:13.001Z,2024-09-18T02:55:55.967Z,32262.96599984169,538
74,2024-09-18T16:26:25.814Z,2024-09-18T16:26:45.772Z,19.95800018310547,1
75,2024-09-18T16:26:46.125Z,2024-09-18T16:30:56.075Z,249.95000004768372,5
76,2024-09-18T16:30:57.000Z,2024-09-18T16:30:57.070Z,0.07000017166137695,1
77,2024-09-18T16:30:58.001Z,2024-09-19T20:35:47.975Z,101089.9740998745,1686
78,2024-09-19T20:56:03.794Z,2024-09-19T21:00:33.029Z,269.23449993133545,6
79,2024-09-19T21:00:34.000Z,2024-09-19T21:00:34.088Z,0.08800005912780762,1
80,2024-09-19T21:00:35.001Z,2024-09-19T22:50:24.957Z,6589.956000089645,110
81,2024-09-19T23:10:50.533Z,2024-09-19T23:11:10.091Z,19.557999849319458,1
82,2024-09-19T23:11:10.111Z,2024-09-19T23:15:17.061Z,246.95000004768372,6
83,2024-09-19T23:15:21.698Z,2024-09-19T23:15:21.776Z,0.07800006866455078,1
84,2024-09-19T23:15:22.000Z,2024-09-20T00:02:21.886Z,2819.885999917984,47
85,2024-09-20T00:08:31.515Z,2024-09-20T00:08:51.233Z,19.717999935150146,1
86,2024-09-20T00:41:20.954Z,2024-09-20T00:41:40.952Z,19.998000144958496,1
87,2024-09-20T00:41:41.114Z,2024-09-20T00:46:11.064Z,269.94999980926514,5
88,2024-09-20T00:46:12.000Z,2024-09-20T00:46:12.070Z,0.07000017166137695,1
89,2024-09-20T00:46:13.000Z,2024-09-20T02:34:42.974Z,6509.97400021553,109
90,2024-09-20T02:57:51.390Z,2024-09-20T02:58:11.028Z,19.638000011444092,1
91,2024-09-20T02:58:11.124Z,2024-09-20T03:02:29.074Z,257.94999980926514,5
92,2024-09-20T03:02:30.000Z,2024-09-20T03:02:30.070Z,0.07000017166137695,1
93,2024-09-20T03:02:31.001Z,2024-09-20T07:12:12.975Z,14981.973999977112,250
94,2024-09-24T15:55:58.247Z,2024-09-24T15:56:18.085Z,19.838000059127808,1
95,2024-09-24T15:56:18.115Z,2024-09-24T16:01:29.065Z,310.9500000476837,6
96,2024-09-24T16:01:30.000Z,2024-09-24T16:01:30.078Z,0.07800006866455078,1
97,2024-09-24T16:01:31.000Z,2024-09-25T05:02:19.966Z,46848.96599984169,781
98,2024-09-25T15:58:29.512Z,2024-09-25T16:03:57.068Z,327.5552999973297,7
99,2024-09-25T16:03:58.000Z,2024-09-25T16:03:58.070Z,0.07000017166137695,1
100,2024-09-25T16:03:59.001Z,2024-09-25T18:24:50.975Z,8451.973999977112,141
101,2024-09-25T18:44:42.356Z,2024-09-25T18:49:24.244Z,281.887099981308,6
102,2024-09-25T18:49:25.000Z,2024-09-25T18:49:25.070Z,0.07000017166137695,1
103,2024-09-25T18:49:26.001Z,2024-11-03T02:32:03.977Z,3310957.9761998653,55205
104,2024-11-03T02:42:00.713Z,2024-11-03T02:42:20.111Z,19.39800000190735,1
105,2024-11-03T02:42:20.164Z,2024-11-03T02:46:19.114Z,238.95000004768372,4
106,2024-11-03T02:46:20.000Z,2024-11-03T02:46:20.078Z,0.07800006866455078,1
107,2024-11-03T02:46:21.001Z,2024-11-03T05:03:21.967Z,8220.966000080109,138
108,2024-11-20T20:24:02.268Z,2024-11-20T20:25:02.266Z,59.99799990653992,1
109,2024-11-20T20:27:06.080Z,2025-02-07T07:13:06.082Z,6777960.001600027,113002
110,2025-02-07T09:11:46.140Z,2025-02-07T09:12:06.098Z,19.95800018310547,1
111,2025-02-07T09:12:06.117Z,2025-02-07T09:16:27.067Z,260.94999980926514,5
112,2025-02-07T09:16:28.000Z,2025-02-07T09:16:28.078Z,0.07800006866455078,1
113,2025-02-07T09:16:29.001Z,2025-04-29T06:27:07.971Z,6988238.970000029,116511
114,2025-04-29T07:06:19.870Z,2025-04-29T07:11:24.064Z,304.19369983673096,6
115,2025-04-29T07:11:25.000Z,2025-04-29T07:11:25.078Z,0.07800006866455078,1
116,2025-04-29T07:11:26.001Z,2025-05-02T12:14:40.967Z,277394.9660999775,4625
117,2025-05-02T23:59:23.190Z,2025-05-03T00:03:46.214Z,263.02379989624023,6
118,2025-05-03T00:03:47.000Z,2025-05-03T00:03:47.078Z,0.07800006866455078,1
119,2025-05-03T00:03:48.001Z,2025-05-06T07:23:44.967Z,285596.9660000801,4760
120,2025-05-06T16:41:20.262Z,2025-05-06T16:41:40.100Z,19.838000059127808,1
121,2025-05-18T01:19:08.100Z,2025-05-18T01:19:28.098Z,19.997999906539917,1
122,2025-07-25T20:04:51.266Z,2025-07-25T20:05:11.064Z,19.7979998588562,1
