event_id,origin_time,latitude,longitude,depth_km,magnitude,horizontal_distance_m,east_m,north_m,depth_difference_km,requested_start_utc,requested_end_utc,coverage_complete,coverage_segment_id,intersecting_file_count,source_files,source_files_exist,family_neighborhood_gate,nomination_status,family_label,waveform_access_status
75120116,2025-01-20T05:24:29.130Z,36.01983,-120.57767,4.27,2.1,29.792546611089172,-7.1948629493167475,-28.910720861204236,-0.5610000000000008,2025-01-20T05:24:19.130Z,2025-01-20T05:24:59.130Z,True,109,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052406Z.h5,True,True,prospective_candidate_waveform_verification_required,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75120101,2025-01-20T05:14:48.490Z,36.0205,-120.57867,3.91,1.0,107.29776174163695,-97.1306498196103,45.58998289520769,-0.9210000000000003,2025-01-20T05:14:38.490Z,2025-01-20T05:15:18.490Z,True,109,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T051406Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T051506Z.h5,True,True,prospective_candidate_waveform_verification_required,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75021072,2024-06-12T01:58:45.580Z,36.0155,-120.57584,3.88,1.5,534.1012453873972,157.38762702237466,-510.38541827195115,-0.9510000000000005,2024-06-12T01:58:35.580Z,2024-06-12T01:59:15.580Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-12T015735Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-12T015835Z.h5,True,True,prospective_candidate_waveform_verification_required,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75153522,2025-03-23T00:02:18.260Z,36.0155,-120.57983,3.51,1.1,548.7056229250196,-201.4561625885373,-510.38541827195115,-1.3210000000000006,2025-03-23T00:02:08.260Z,2025-03-23T00:02:48.260Z,True,113,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2025-02-07T091146Z/SAFOD-Zumberge-16mGL-500HzFs_2025-03-23T000207Z.h5,True,True,prospective_candidate_waveform_verification_required,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75162676,2025-04-10T01:01:44.360Z,36.01883,-120.58466,4.15,1.4,651.0989079735081,-635.8460131698313,-140.105801094478,-0.681,2025-04-10T01:01:34.360Z,2025-04-10T01:02:14.360Z,True,113,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2025-02-07T091146Z/SAFOD-Zumberge-16mGL-500HzFs_2025-04-10T010107Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2025-02-07T091146Z/SAFOD-Zumberge-16mGL-500HzFs_2025-04-10T010207Z.h5,True,True,prospective_candidate_waveform_verification_required,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
