event_id,origin_time,latitude,longitude,depth_km,magnitude,horizontal_distance_m,east_m,north_m,depth_difference_km,requested_start_utc,requested_end_utc,coverage_complete,coverage_segment_id,intersecting_file_count,source_files,source_files_exist,family_neighborhood_gate,nomination_status,family_label,waveform_access_status
75061326,2024-09-13T12:21:51.010Z,35.99866,-120.56284,4.37,2.6,2727.2706617462,1326.5528563310784,-2382.910569404864,-0.4610000000000003,2024-09-13T12:21:41.010Z,2024-09-13T12:22:21.010Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75061336,2024-09-13T13:13:44.970Z,36.00483,-120.56567,3.84,1.9,2007.115763354551,1072.0345794890934,-1696.836924364261,-0.9910000000000005,2024-09-13T13:13:34.970Z,2024-09-13T13:14:14.970Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75061356,2024-09-13T14:31:03.010Z,36.00033,-120.56116,3.82,1.0,2647.8647048252033,1477.6449782718423,-2197.214785415178,-1.0110000000000006,2024-09-13T14:30:53.010Z,2024-09-13T14:31:33.010Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75061361,2024-09-13T14:38:01.480Z,36.0015,-120.55833,4.14,1.2,2696.916820868228,1732.1632551138275,-2067.116541541734,-0.6910000000000007,2024-09-13T14:37:51.480Z,2024-09-13T14:38:31.480Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75061446,2024-09-13T20:05:19.500Z,35.99833,-120.57516,1.12,0.5,2429.4545802511116,218.54396209412315,-2419.6049458817256,-3.7110000000000003,2024-09-13T20:05:09.500Z,2024-09-13T20:05:49.500Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75061831,2024-09-14T17:36:05.760Z,36.0035,-120.56116,3.96,2.0,2363.5672410244297,1477.6449782718423,-1844.7263810743966,-0.8710000000000004,2024-09-14T17:35:55.760Z,2024-09-14T17:36:35.760Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75062756,2024-09-16T19:56:29.040Z,36.09,-120.66534,2.62,0.6,11077.506128468638,-7891.8652978305545,7773.648059126302,-2.2110000000000003,2024-09-16T19:56:19.040Z,2024-09-16T19:56:59.040Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75063571,2024-09-18T18:28:44.830Z,35.9695,-120.51534,3.01,-0.0,7936.491539267515,5598.502732649572,-5625.359109015186,-1.8210000000000006,2024-09-18T18:28:34.830Z,2024-09-18T18:29:14.830Z,True,77,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-18T162626Z/SAFOD-Zumberge-16mGL-500HzFs_2024-09-18T182747Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-18T162626Z/SAFOD-Zumberge-16mGL-500HzFs_2024-09-18T182847Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75064116,2024-09-19T21:25:07.860Z,35.972,-120.52016,2.99,0.6,7434.496110590945,5165.012239935984,-5347.371408430816,-1.8410000000000002,2024-09-19T21:24:57.860Z,2024-09-19T21:25:37.860Z,True,80,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-19T205603Z/SAFOD-Zumberge-16mGL-500HzFs_2024-09-19T212424Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-19T205603Z/SAFOD-Zumberge-16mGL-500HzFs_2024-09-19T212524Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75064741,2024-09-21T06:13:41.680Z,35.80533,-120.49934,10.94,1.2,24895.63532756993,7037.475322566601,-23880.255430954126,6.108999999999999,2024-09-21T06:13:31.680Z,2024-09-21T06:14:11.680Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
