block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.0029894919208578214,12,PASS
1,90,175,90,175,18,18,0.002335944943568956,12,PASS
2,180,265,180,265,18,18,0.0025986564728487497,12,PASS
3,270,355,270,355,18,18,0.002711219240258523,12,PASS
4,360,445,360,445,18,18,0.0026818752814726453,12,PASS
5,450,535,450,535,18,18,0.0028051336175368455,12,PASS
6,540,625,540,625,18,18,0.0027110394716957555,12,PASS
7,630,715,630,715,18,18,0.0027956903388247634,12,PASS
8,720,805,720,805,18,18,0.0028956982741179726,12,PASS
9,810,895,810,895,18,18,0.0031384193214410586,12,PASS
