replicate,maximum_score
1,1.3368862867355347
2,1.4101738929748535
3,1.3000421524047852
4,1.3127721548080444
5,1.4431158304214478
6,1.3789784908294678
7,1.3354849815368652
8,1.4351208209991455
9,1.295170783996582
10,1.3863193988800049
11,1.438103199005127
12,1.3930996656417847
13,1.3325741291046143
14,1.3814433813095093
15,1.3382625579833984
16,1.3437566757202148
17,1.4389911890029907
18,1.3664817810058594
19,1.3735451698303223
20,1.3775795698165894
21,1.3533194065093994
22,1.4403281211853027
23,1.3787643909454346
24,1.3687242269515991
25,1.4339498281478882
26,1.4254238605499268
27,1.375000238418579
28,1.4642419815063477
29,1.422304391860962
30,1.3752672672271729
31,1.365614414215088
32,1.3876991271972656
33,1.2933818101882935
34,1.4131135940551758
35,1.6370556354522705
36,1.3968889713287354
37,1.460590124130249
38,1.4736971855163574
39,1.4878134727478027
40,1.3444551229476929
41,1.4694218635559082
42,1.41037917137146
43,1.3628461360931396
44,1.3222064971923828
45,1.409130573272705
46,1.3088929653167725
47,1.3715124130249023
48,1.3254120349884033
49,1.2800923585891724
50,1.4036753177642822
51,1.5766018629074097
52,1.369459629058838
53,1.4317400455474854
54,1.4223875999450684
55,1.573133945465088
56,1.4921882152557373
57,1.4488493204116821
58,1.3527705669403076
59,1.363500952720642
60,1.4793543815612793
61,1.4174423217773438
62,1.3238177299499512
63,1.3682243824005127
64,1.4250125885009766
65,1.4360666275024414
66,1.3526630401611328
67,1.3031872510910034
68,1.3160743713378906
69,1.3485432863235474
70,1.3608794212341309
71,1.3935459852218628
72,1.4203968048095703
73,1.294527292251587
74,1.3692567348480225
75,1.4306209087371826
76,1.3920388221740723
77,1.4054067134857178
78,1.4012693166732788
79,1.2941341400146484
80,1.3430490493774414
81,1.4464123249053955
82,1.515151023864746
83,1.3980484008789062
84,1.3852819204330444
85,1.3141069412231445
86,1.3009060621261597
87,1.3923630714416504
88,1.340818166732788
89,1.297871470451355
90,1.3323628902435303
91,1.421449899673462
92,1.3951947689056396
93,1.6900908946990967
94,1.5268930196762085
95,1.3030481338500977
96,1.3897418975830078
97,1.3294944763183594
98,1.3286993503570557
99,1.3373489379882812
100,1.395254135131836
101,1.543839931488037
102,1.4517595767974854
103,1.376640796661377
104,1.32407546043396
105,1.4739773273468018
106,1.44010329246521
107,1.3138999938964844
108,1.3558192253112793
109,1.3815159797668457
110,1.5954093933105469
111,1.4125616550445557
112,1.3266243934631348
113,1.3133478164672852
114,1.3753411769866943
115,1.40283203125
116,1.367819905281067
117,1.372657299041748
118,1.3016374111175537
119,1.3539941310882568
120,1.365614414215088
121,1.3586807250976562
122,1.422304391860962
123,1.5015935897827148
124,1.326758623123169
125,1.3467473983764648
126,1.3123424053192139
127,1.3548214435577393
128,1.4145543575286865
129,1.3307294845581055
130,1.375000238418579
131,1.4990406036376953
132,1.4048664569854736
133,1.4053261280059814
134,1.3064665794372559
135,1.49234938621521
136,1.4317419528961182
137,1.3808116912841797
138,1.3538814783096313
139,1.4222180843353271
140,1.372039794921875
141,1.5960556268692017
142,1.3540077209472656
143,1.2941482067108154
144,1.2690671682357788
145,1.3447904586791992
146,1.3610961437225342
147,1.414705514907837
148,1.3566956520080566
149,1.3408935070037842
150,1.341707468032837
151,1.4219517707824707
152,1.3970487117767334
153,1.312401533126831
154,1.3624629974365234
155,1.3252497911453247
156,1.3464462757110596
157,1.4134429693222046
158,1.3472084999084473
159,1.339109182357788
160,1.2971525192260742
161,1.3338600397109985
162,1.3354718685150146
163,1.4287793636322021
164,1.4085689783096313
165,1.3894977569580078
166,1.3848063945770264
167,1.337857723236084
168,1.4504985809326172
169,1.4512648582458496
170,1.3181962966918945
171,1.4211783409118652
172,1.2723032236099243
173,1.3057310581207275
174,1.3375041484832764
175,1.3453235626220703
176,1.3070874214172363
177,1.338620901107788
178,1.360788345336914
179,1.3437172174453735
180,1.4190704822540283
181,1.6117274761199951
182,1.3162801265716553
183,1.367969036102295
184,1.3193707466125488
185,1.363982915878296
186,1.4372899532318115
187,1.415452003479004
188,1.559381127357483
189,1.3936924934387207
190,1.4119718074798584
191,1.408516764640808
192,1.4821152687072754
193,1.41592538356781
194,1.4856560230255127
195,1.4605870246887207
196,1.3216402530670166
197,1.456068515777588
198,1.4502842426300049
199,1.361100435256958
