pair_name,reference_event_id,comparison_event_id,trace_id,reference_trace_id,comparison_trace_id,reference_location,comparison_location,station,component,sample_rate_hz,band,band_low_hz,band_high_hz,reference_snr,comparison_snr,correlation,lag_s,usable
deep_named_75336682_anchor_51214531,75336682,51214531,BP.EADB.DP3,BP.EADB.40.DP3,BP.EADB..DP3,40,,EADB,DP3,250.0,2.0-10.0Hz,2.0,10.0,105.03934910493045,53.58546716213634,0.9792483396000227,-0.008,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.EADB.DP3,BP.EADB.40.DP3,BP.EADB..DP3,40,,EADB,DP3,250.0,5.0-20.0Hz,5.0,20.0,103.13735825500763,31.45918885892672,0.9663409782476401,-0.008,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.EADB.DP3,BP.EADB.40.DP3,BP.EADB..DP3,40,,EADB,DP3,250.0,10.0-40.0Hz,10.0,40.0,39.27037606611067,13.397308551939556,0.9659728058111049,-0.012,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.EADB.DP3,BP.EADB.40.DP3,BP.EADB..DP3,40,,EADB,DP3,250.0,2.0-40.0Hz,2.0,40.0,106.91773555988496,40.080114834370974,0.9720917812923684,-0.008,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP1,BP.FROB.40.DP1,BP.FROB..DP1,40,,FROB,DP1,250.0,2.0-10.0Hz,2.0,10.0,14.721788285708584,33.13931186912395,0.9684127634805102,-0.012,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP1,BP.FROB.40.DP1,BP.FROB..DP1,40,,FROB,DP1,250.0,5.0-20.0Hz,5.0,20.0,19.122123256416057,58.38411660886369,0.978595732910874,-0.012,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP1,BP.FROB.40.DP1,BP.FROB..DP1,40,,FROB,DP1,250.0,10.0-40.0Hz,10.0,40.0,19.5686977301386,73.89829832799535,0.9407608635696815,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP1,BP.FROB.40.DP1,BP.FROB..DP1,40,,FROB,DP1,250.0,2.0-40.0Hz,2.0,40.0,17.08126955106977,49.624911524861425,0.9427976958873853,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP2,BP.FROB.40.DP2,BP.FROB..DP2,40,,FROB,DP2,250.0,2.0-10.0Hz,2.0,10.0,13.290518407497823,32.552353277134266,0.9688461311743151,-0.012,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP2,BP.FROB.40.DP2,BP.FROB..DP2,40,,FROB,DP2,250.0,5.0-20.0Hz,5.0,20.0,17.38213593712447,38.40742077032753,0.9741290324726406,-0.012,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP2,BP.FROB.40.DP2,BP.FROB..DP2,40,,FROB,DP2,250.0,10.0-40.0Hz,10.0,40.0,18.18903077383285,42.45892225027907,0.9292560858275947,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP2,BP.FROB.40.DP2,BP.FROB..DP2,40,,FROB,DP2,250.0,2.0-40.0Hz,2.0,40.0,15.756399817525072,39.54042744652757,0.9316090443854198,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP3,BP.FROB.40.DP3,BP.FROB..DP3,40,,FROB,DP3,250.0,2.0-10.0Hz,2.0,10.0,16.944827977199004,37.07352658324447,0.9723753891585847,-0.008,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP3,BP.FROB.40.DP3,BP.FROB..DP3,40,,FROB,DP3,250.0,5.0-20.0Hz,5.0,20.0,16.527173784755323,45.36322220808987,0.9751883167153057,-0.012,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP3,BP.FROB.40.DP3,BP.FROB..DP3,40,,FROB,DP3,250.0,10.0-40.0Hz,10.0,40.0,11.991881141795918,51.07041741560048,0.864513208328354,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.FROB.DP3,BP.FROB.40.DP3,BP.FROB..DP3,40,,FROB,DP3,250.0,2.0-40.0Hz,2.0,40.0,14.486584671263822,41.746527876974504,0.8910958905604188,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.GHIB.DP1,BP.GHIB.40.DP1,BP.GHIB..DP1,40,,GHIB,DP1,250.0,2.0-10.0Hz,2.0,10.0,11.381715017573793,1.6931163525484692,0.9649872806369284,-0.008,False
deep_named_75336682_anchor_51214531,75336682,51214531,BP.GHIB.DP1,BP.GHIB.40.DP1,BP.GHIB..DP1,40,,GHIB,DP1,250.0,5.0-20.0Hz,5.0,20.0,21.22492769239673,2.3962866887335705,0.9651370869194549,-0.012,False
deep_named_75336682_anchor_51214531,75336682,51214531,BP.GHIB.DP1,BP.GHIB.40.DP1,BP.GHIB..DP1,40,,GHIB,DP1,250.0,10.0-40.0Hz,10.0,40.0,13.769931933376633,0.6811129585874992,0.9593627311400116,-0.012,False
deep_named_75336682_anchor_51214531,75336682,51214531,BP.GHIB.DP1,BP.GHIB.40.DP1,BP.GHIB..DP1,40,,GHIB,DP1,250.0,2.0-40.0Hz,2.0,40.0,12.207991746346975,1.1386605845591107,0.9507806232778644,-0.012,False
deep_named_75336682_anchor_51214531,75336682,51214531,BP.GHIB.DP3,BP.GHIB.40.DP3,BP.GHIB..DP3,40,,GHIB,DP3,250.0,2.0-10.0Hz,2.0,10.0,3.320751520718092,6.699780973955954,0.9224313221143103,-0.008,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.GHIB.DP3,BP.GHIB.40.DP3,BP.GHIB..DP3,40,,GHIB,DP3,250.0,5.0-20.0Hz,5.0,20.0,3.0725883485075043,9.029557060862325,0.9274178493996603,-0.012,True
