block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.011221425721102435,12,PASS
1,90,175,90,175,18,18,0.007808960729812387,12,PASS
2,180,265,180,265,18,18,0.013326578482876194,12,PASS
3,270,355,270,355,18,18,0.016719755488939787,12,PASS
4,360,445,360,445,18,18,0.011585572574025876,12,PASS
5,450,535,450,535,18,18,0.009517735382034157,12,PASS
6,540,625,540,625,18,18,0.015878137316191508,12,PASS
7,630,715,630,715,18,18,0.011794743551093823,12,PASS
8,720,805,720,805,18,18,0.011081325263513048,12,PASS
9,810,895,810,895,18,18,0.017674382080882012,12,PASS
