column_index,locus_index,filtered_rms_phase_rad,finite,nonzero,usable,reason,amplitude_based_selection_used
0,0,0.20061698708488318,True,True,True,,False
5,5,0.39017313695927724,True,True,True,,False
10,10,0.3425917709453743,True,True,True,,False
15,15,0.27955710588353444,True,True,True,,False
20,20,0.06139210767333016,True,True,True,,False
25,25,0.015103713086178928,True,True,True,,False
30,30,0.022377226496544066,True,True,True,,False
35,35,0.009761727581479506,True,True,True,,False
40,40,0.012742171624170583,True,True,True,,False
45,45,0.008181617963350795,True,True,True,,False
50,50,0.009464297627319946,True,True,True,,False
55,55,0.008636235670355284,True,True,True,,False
60,60,0.009956503546989199,True,True,True,,False
65,65,0.012486347895215672,True,True,True,,False
70,70,0.007933226856031953,True,True,True,,False
75,75,0.0064056580510580535,True,True,True,,False
80,80,0.009037345425415792,True,True,True,,False
85,85,0.006743237344692702,True,True,True,,False
90,90,0.006701132584604777,True,True,True,,False
95,95,0.006567405004529975,True,True,True,,False
100,100,0.006860279897393797,True,True,True,,False
105,105,0.009207084368621155,True,True,True,,False
110,110,0.006864137742847589,True,True,True,,False
115,115,0.007740893447730837,True,True,True,,False
120,120,0.011755777467860188,True,True,True,,False
125,125,0.007036566790276134,True,True,True,,False
130,130,0.007877028011893937,True,True,True,,False
135,135,0.018829586432797585,True,True,True,,False
140,140,0.00702720749030375,True,True,True,,False
145,145,0.0071961554509709265,True,True,True,,False
150,150,0.008302395596161158,True,True,True,,False
155,155,0.006135617529956741,True,True,True,,False
160,160,0.008438606044360912,True,True,True,,False
165,165,0.015390825197594892,True,True,True,,False
170,170,0.008020516635241167,True,True,True,,False
175,175,0.010910419297558347,True,True,True,,False
180,180,0.011571973528081956,True,True,True,,False
185,185,0.012296595197536755,True,True,True,,False
190,190,0.009481845874453733,True,True,True,,False
195,195,0.017376935500766504,True,True,True,,False
200,200,0.012552122717201446,True,True,True,,False
205,205,0.017196145243471486,True,True,True,,False
210,210,0.011020067737524172,True,True,True,,False
215,215,0.008434592665937095,True,True,True,,False
220,220,0.014082771670086073,True,True,True,,False
225,225,0.012547005103316862,True,True,True,,False
230,230,0.01463565784073755,True,True,True,,False
235,235,0.018423653056529106,True,True,True,,False
240,240,0.014405135886653387,True,True,True,,False
245,245,0.012570385295666316,True,True,True,,False
250,250,0.016816333036515224,True,True,True,,False
255,255,0.011176597098719003,True,True,True,,False
260,260,0.014857144227357861,True,True,True,,False
265,265,0.01858425760696198,True,True,True,,False
270,270,0.025185771813462494,True,True,True,,False
275,275,0.01850368175123809,True,True,True,,False
280,280,0.019187167292152474,True,True,True,,False
285,285,0.025339421334405154,True,True,True,,False
290,290,0.02600897831851326,True,True,True,,False
295,295,0.011862123396416886,True,True,True,,False
300,300,0.014209473600378152,True,True,True,,False
305,305,0.017949335717059492,True,True,True,,False
310,310,0.015490175260820081,True,True,True,,False
315,315,0.01086272363477626,True,True,True,,False
320,320,0.01913872154707573,True,True,True,,False
325,325,0.010034376712397841,True,True,True,,False
330,330,0.010007749644969253,True,True,True,,False
335,335,0.021260026373956322,True,True,True,,False
340,340,0.0092835719847291,True,True,True,,False
345,345,0.009433078297579982,True,True,True,,False
350,350,0.019540461889623877,True,True,True,,False
355,355,0.008196525477132014,True,True,True,,False
360,360,0.056895755657055735,True,True,True,,False
365,365,0.017704117351856775,True,True,True,,False
370,370,0.011463202305920347,True,True,True,,False
375,375,0.006419315563418824,True,True,True,,False
380,380,0.007640938942150586,True,True,True,,False
385,385,0.009480192985273594,True,True,True,,False
390,390,0.0347702898199449,True,True,True,,False
395,395,0.018579584318055033,True,True,True,,False
400,400,0.005521281422597102,True,True,True,,False
405,405,0.02598290661069871,True,True,True,,False
410,410,0.008287004970257467,True,True,True,,False
415,415,0.007418496907514464,True,True,True,,False
420,420,0.009258324015856495,True,True,True,,False
425,425,0.01727189422311861,True,True,True,,False
430,430,0.011707942842131405,True,True,True,,False
435,435,0.007709264084805021,True,True,True,,False
440,440,0.012486992377166677,True,True,True,,False
445,445,0.01343311857568313,True,True,True,,False
450,450,0.006546359517023686,True,True,True,,False
455,455,0.005804752393350508,True,True,True,,False
460,460,0.011667769166946949,True,True,True,,False
465,465,0.008861535883047932,True,True,True,,False
470,470,0.012176978027571827,True,True,True,,False
475,475,0.013146853591391335,True,True,True,,False
480,480,0.017707434646043244,True,True,True,,False
485,485,0.013062013830668908,True,True,True,,False
490,490,0.006652460521257348,True,True,True,,False
495,495,0.008396513875525367,True,True,True,,False
500,500,0.020007442503692206,True,True,True,,False
505,505,0.008648026495069329,True,True,True,,False
510,510,0.007457241641742688,True,True,True,,False
515,515,0.009030423996320069,True,True,True,,False
520,520,0.008190671412466913,True,True,True,,False
525,525,0.010657651974591027,True,True,True,,False
530,530,0.011243588210612098,True,True,True,,False
535,535,0.010005046767748244,True,True,True,,False
540,540,0.020386918856797845,True,True,True,,False
545,545,0.018853406321227607,True,True,True,,False
550,550,0.01077766297001404,True,True,True,,False
555,555,0.04089380483437839,True,True,True,,False
560,560,0.011361132508461439,True,True,True,,False
565,565,0.015719913887233504,True,True,True,,False
570,570,0.009004701459229061,True,True,True,,False
575,575,0.010713270014695797,True,True,True,,False
580,580,0.01603636074514951,True,True,True,,False
585,585,0.028114115695538976,True,True,True,,False
590,590,0.010207586576356885,True,True,True,,False
595,595,0.02320870375761733,True,True,True,,False
600,600,0.023815253916168157,True,True,True,,False
605,605,0.012257198068284849,True,True,True,,False
610,610,0.00917264290168738,True,True,True,,False
615,615,0.019614286702308657,True,True,True,,False
620,620,0.024944869892081212,True,True,True,,False
625,625,0.01141442539412514,True,True,True,,False
630,630,0.009270063331041262,True,True,True,,False
635,635,0.02424891915315563,True,True,True,,False
640,640,0.012505137395005469,True,True,True,,False
645,645,0.006473747090744133,True,True,True,,False
650,650,0.014702414169314178,True,True,True,,False
655,655,0.006972631893759587,True,True,True,,False
660,660,0.005387438179784454,True,True,True,,False
665,665,0.011973246890588084,True,True,True,,False
670,670,0.015596517769257594,True,True,True,,False
675,675,0.023421855829764117,True,True,True,,False
680,680,0.018058993101299898,True,True,True,,False
685,685,0.016562229928846785,True,True,True,,False
690,690,0.011616240211599564,True,True,True,,False
695,695,0.008816875702383691,True,True,True,,False
700,700,0.0060145602294968455,True,True,True,,False
705,705,0.007977396416566526,True,True,True,,False
710,710,0.00710768230241607,True,True,True,,False
715,715,0.012027697826120093,True,True,True,,False
720,720,0.008486279078176074,True,True,True,,False
725,725,0.015579874224233965,True,True,True,,False
730,730,0.022028242800095202,True,True,True,,False
735,735,0.008091776135709272,True,True,True,,False
740,740,0.011792643337855565,True,True,True,,False
745,745,0.011518234051097405,True,True,True,,False
750,750,0.021732537460934932,True,True,True,,False
