block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.02086052138749304,12,PASS
1,90,175,90,175,18,18,0.005796660024207888,12,PASS
2,180,265,180,265,18,18,0.0073641379743606536,12,PASS
3,270,355,270,355,18,18,0.00539434914599774,12,PASS
4,360,445,360,445,18,18,0.006376968288667694,12,PASS
5,450,535,450,535,18,18,0.005198369196257137,12,PASS
6,540,625,540,625,18,18,0.0048974018534810575,12,PASS
7,630,715,630,715,18,18,0.0058228582459255735,12,PASS
8,720,805,720,805,18,18,0.005800603052303415,12,PASS
9,810,895,810,895,18,18,0.005844259277576938,12,PASS
