candidate_id,parent_v1_candidate_id,trigger_time,trigger_epoch_s,coincidence_score,v1_interval_null_threshold,strong_block_characteristic_ratio,strong_block_count,total_registered_block_count,strong_block_fraction,minimum_required_strong_block_count,v1_score_rank,candidate_generation_label,network_candidate_time_fields_read,catalog_event_time_fields_read,heldout_waveform_fields_read,family_assignment
das_v2_dev_0001,das_generic_dev_0028,2025-01-20T05:14:50.451Z,1737350090.4516,3.339193344116211,1.3984489440917969,2.0,8,10,0.8,4,2,development_tuned_v2_replay_not_independent_validation,0,0,0,not_assigned
das_v2_dev_0002,das_generic_dev_0045,2025-01-20T05:24:31.001Z,1737350671.0016,4.4272661209106445,1.3984489440917969,2.0,10,10,1.0,4,1,development_tuned_v2_replay_not_independent_validation,0,0,0,not_assigned
