event_id,origin_time,requested_start_utc,requested_end_utc,intersecting_file_count,window_complete_by_header_extent,coverage_status,source_files,header_errors
75336682,2026-04-01T01:24:18.650Z,2026-04-01T01:24:14.650Z,2026-04-01T01:24:30.650Z,1,True,PASS,/oak/stanford/groups/ettore88/data/SAFOD/SAFOD-deep/2026-03/02-START-DEEP-recording_2026-03-28T162150Z/SAFOD-Deep-10mGL-1000HzFs-2mChDualPulse_2026-04-01T012335Z.h5,
75343317,2026-04-13T06:35:49.710Z,2026-04-13T06:35:45.710Z,2026-04-13T06:36:01.710Z,2,True,PASS,/oak/stanford/groups/ettore88/data/SAFOD/SAFOD-deep/2026-03/03-recording_2026-04-07T180130Z/SAFOD-Deep-10mGL-1000HzFs-2mChDualPulse_2026-04-13T063449Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFOD-deep/2026-03/03-recording_2026-04-07T180130Z/SAFOD-Deep-10mGL-1000HzFs-2mChDualPulse_2026-04-13T063549Z.h5,
