block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,median_channel_snr,peak_robust_z,detected,shot_number,shot_name
61,3052,3096,4852,4896,12,1.035346269607544,6.383362906143854,True,1,SAFOD260002
62,3100,3148,4900,4948,13,1.0358636379241943,4.0059694960410654,False,1,SAFOD260002
63,3152,3196,4952,4996,12,0.9739462733268738,6.706847422338703,True,1,SAFOD260002
0,0,48,1800,1848,13,4.418704509735107,111.48281181445788,True,2,SAFOD260009
1,52,96,1852,1896,12,3.6112923622131348,95.80732616648028,True,2,SAFOD260009
2,100,148,1900,1948,13,8.735702514648438,130.8087874355825,True,2,SAFOD260009
3,152,196,1952,1996,12,20.600265502929688,165.4406121096242,True,2,SAFOD260009
4,200,248,2000,2048,13,32.02467346191406,640.4048584938091,True,2,SAFOD260009
5,252,296,2052,2096,12,20.360441207885742,510.0332967033095,True,2,SAFOD260009
6,300,348,2100,2148,13,7.410861015319824,275.35159025949724,True,2,SAFOD260009
7,352,396,2152,2196,12,12.49990177154541,333.4042452532816,True,2,SAFOD260009
8,400,448,2200,2248,13,12.63150405883789,250.85880142739865,True,2,SAFOD260009
9,452,496,2252,2296,12,16.894500732421875,245.72401408251457,True,2,SAFOD260009
10,500,548,2300,2348,13,3.827023506164551,102.12676997466176,True,2,SAFOD260009
11,552,596,2352,2396,12,1.7799689769744873,61.67506967355494,True,2,SAFOD260009
12,600,648,2400,2448,13,1.5149041414260864,41.49416723576057,True,2,SAFOD260009
13,652,696,2452,2496,12,1.7212241888046265,36.63062902525073,True,2,SAFOD260009
14,700,748,2500,2548,13,1.9069511890411377,20.426150669058302,True,2,SAFOD260009
15,752,796,2552,2596,12,1.7019479274749756,45.75204185353587,True,2,SAFOD260009
16,800,848,2600,2648,13,1.5327568054199219,17.502832285792593,True,2,SAFOD260009
17,852,896,2652,2696,12,1.7447757720947266,71.66827479110752,True,2,SAFOD260009
18,900,948,2700,2748,13,1.4910751581192017,104.65720038931566,True,2,SAFOD260009
19,952,996,2752,2796,12,1.4926731586456299,7.723003193616072,True,2,SAFOD260009
20,1000,1048,2800,2848,13,1.837241291999817,52.32407304687612,True,2,SAFOD260009
21,1052,1096,2852,2896,12,1.6950428485870361,15.739531684695262,True,2,SAFOD260009
22,1100,1148,2900,2948,13,1.9157657623291016,20.508136477910845,True,2,SAFOD260009
23,1152,1196,2952,2996,12,1.612640142440796,20.27178765347398,True,2,SAFOD260009
24,1200,1248,3000,3048,13,1.5752135515213013,13.243943863345867,True,2,SAFOD260009
25,1252,1296,3052,3096,12,1.4115195274353027,16.332997258250693,True,2,SAFOD260009
26,1300,1348,3100,3148,13,1.912070393562317,18.210644466886926,True,2,SAFOD260009
27,1352,1396,3152,3196,12,1.5763174295425415,14.964593528093392,True,2,SAFOD260009
28,1400,1448,3200,3248,13,1.4026738405227661,14.20137456779404,True,2,SAFOD260009
29,1452,1496,3252,3296,12,1.4539507627487183,13.796276641744072,True,2,SAFOD260009
30,1500,1548,3300,3348,13,1.3622921705245972,10.127792854204118,True,2,SAFOD260009
31,1552,1596,3352,3396,12,1.511301040649414,17.572911793863227,True,2,SAFOD260009
32,1600,1648,3400,3448,13,1.6223677396774292,19.96639891978038,True,2,SAFOD260009
33,1652,1696,3452,3496,12,1.5426599979400635,17.357613730856986,True,2,SAFOD260009
34,1700,1748,3500,3548,13,1.7971429824829102,25.948778445455744,True,2,SAFOD260009
35,1752,1796,3552,3596,12,1.6467820405960083,20.790011898017827,True,2,SAFOD260009
36,1800,1848,3600,3648,13,1.5671322345733643,19.339699002466972,True,2,SAFOD260009
37,1852,1896,3652,3696,12,1.616587519645691,20.893634048845236,True,2,SAFOD260009
38,1900,1948,3700,3748,13,1.207620620727539,10.868956452348613,True,2,SAFOD260009
39,1952,1996,3752,3796,12,1.3992276191711426,13.555346628691721,True,2,SAFOD260009
40,2000,2048,3800,3848,13,1.3911415338516235,9.612936071735472,True,2,SAFOD260009
41,2052,2096,3852,3896,12,1.2016841173171997,13.254161856804629,True,2,SAFOD260009
42,2100,2148,3900,3948,13,1.26571786403656,12.049850113418252,True,2,SAFOD260009
43,2152,2196,3952,3996,12,1.230137586593628,7.3985376047486096,True,2,SAFOD260009
44,2200,2248,4000,4048,13,1.3884938955307007,12.41823729112657,True,2,SAFOD260009
45,2252,2296,4052,4096,12,1.1681621074676514,6.6616165785918255,True,2,SAFOD260009
46,2300,2348,4100,4148,13,1.1330331563949585,10.053277458384803,True,2,SAFOD260009
47,2352,2396,4152,4196,12,1.246659517288208,20.826774312385634,True,2,SAFOD260009
48,2400,2448,4200,4248,13,1.1643704175949097,19.76060911481708,True,2,SAFOD260009
49,2452,2496,4252,4296,12,1.205025315284729,13.011430903918145,True,2,SAFOD260009
50,2500,2548,4300,4348,13,1.3955827951431274,59.832471051604884,True,2,SAFOD260009
51,2552,2596,4352,4396,12,1.1525983810424805,9.016797384063798,True,2,SAFOD260009
52,2600,2648,4400,4448,13,1.1586397886276245,26.85710220670312,True,2,SAFOD260009
53,2652,2696,4452,4496,12,1.216040015220642,9.414890507856132,True,2,SAFOD260009
54,2700,2748,4500,4548,13,1.1730084419250488,14.23709998324056,True,2,SAFOD260009
55,2752,2796,4552,4596,12,1.1414227485656738,20.380355857972155,True,2,SAFOD260009
56,2800,2848,4600,4648,13,1.1833720207214355,45.44943791406882,True,2,SAFOD260009
57,2852,2896,4652,4696,12,1.6537498235702515,256.8571057981593,True,2,SAFOD260009
58,2900,2948,4700,4748,13,10.025347709655762,261.4668802208639,True,2,SAFOD260009
59,2952,2996,4752,4796,12,5.578008651733398,118.49038416368403,True,2,SAFOD260009
60,3000,3048,4800,4848,13,3.8562233448028564,60.89958715849352,True,2,SAFOD260009
61,3052,3096,4852,4896,12,4.5045485496521,120.17793817885386,True,2,SAFOD260009
62,3100,3148,4900,4948,13,7.071991443634033,178.169883877834,True,2,SAFOD260009
63,3152,3196,4952,4996,12,2.1116671562194824,12.193787049982197,True,2,SAFOD260009
0,0,48,1800,1848,13,0.9345200657844543,6.765868304850789,True,3,SAFOD260010
1,52,96,1852,1896,12,1.0697572231292725,8.289922874327292,True,3,SAFOD260010
2,100,148,1900,1948,13,0.9140809178352356,11.499041431481942,True,3,SAFOD260010
3,152,196,1952,1996,12,6.134509086608887,153.01489206722678,True,3,SAFOD260010
4,200,248,2000,2048,13,2.6036605834960938,30.086990127935618,True,3,SAFOD260010
5,252,296,2052,2096,12,10.947718620300293,158.89140265498713,True,3,SAFOD260010
6,300,348,2100,2148,13,4.942171096801758,118.37023526557711,True,3,SAFOD260010
7,352,396,2152,2196,12,20.959999084472656,365.9070995827089,True,3,SAFOD260010
8,400,448,2200,2248,13,15.683854103088379,296.86919937298586,True,3,SAFOD260010
9,452,496,2252,2296,12,34.772857666015625,507.5101618332798,True,3,SAFOD260010
10,500,548,2300,2348,13,3.869269847869873,125.43931355910715,True,3,SAFOD260010
11,552,596,2352,2396,12,1.8649718761444092,30.158504531845193,True,3,SAFOD260010
12,600,648,2400,2448,13,2.477426767349243,62.17972268396617,True,3,SAFOD260010
13,652,696,2452,2496,12,2.414215087890625,49.65554674785754,True,3,SAFOD260010
14,700,748,2500,2548,13,2.713954210281372,38.5553136453614,True,3,SAFOD260010
15,752,796,2552,2596,12,2.711019515991211,32.67151234690618,True,3,SAFOD260010
16,800,848,2600,2648,13,2.3692219257354736,26.1282879697504,True,3,SAFOD260010
17,852,896,2652,2696,12,3.387115955352783,76.80146442183853,True,3,SAFOD260010
18,900,948,2700,2748,13,3.2901382446289062,103.94768502015592,True,3,SAFOD260010
19,952,996,2752,2796,12,2.604857921600342,39.37408250484049,True,3,SAFOD260010
20,1000,1048,2800,2848,13,3.313403606414795,67.00319518577076,True,3,SAFOD260010
21,1052,1096,2852,2896,12,3.928205728530884,66.68361184166866,True,3,SAFOD260010
22,1100,1148,2900,2948,13,2.9283382892608643,47.84666073758798,True,3,SAFOD260010
23,1152,1196,2952,2996,12,3.185183048248291,45.75897775725287,True,3,SAFOD260010
24,1200,1248,3000,3048,13,2.813314199447632,40.82497880102855,True,3,SAFOD260010
25,1252,1296,3052,3096,12,3.0217602252960205,31.866236646141388,True,3,SAFOD260010
26,1300,1348,3100,3148,13,3.0392682552337646,56.71211531590089,True,3,SAFOD260010
27,1352,1396,3152,3196,12,4.262309551239014,67.85825683900543,True,3,SAFOD260010
28,1400,1448,3200,3248,13,2.770618200302124,33.18238026279493,True,3,SAFOD260010
29,1452,1496,3252,3296,12,2.4929399490356445,39.55807095858314,True,3,SAFOD260010
30,1500,1548,3300,3348,13,2.1902897357940674,38.33060571203516,True,3,SAFOD260010
31,1552,1596,3352,3396,12,1.999197006225586,32.76809776697223,True,3,SAFOD260010
32,1600,1648,3400,3448,13,2.713407516479492,23.56005334248097,True,3,SAFOD260010
33,1652,1696,3452,3496,12,2.0739548206329346,21.019068285229647,True,3,SAFOD260010
34,1700,1748,3500,3548,13,2.3568711280822754,29.709114851233167,True,3,SAFOD260010
35,1752,1796,3552,3596,12,2.2287378311157227,34.71143775864364,True,3,SAFOD260010
36,1800,1848,3600,3648,13,2.0870320796966553,202.0593038408979,True,3,SAFOD260010
37,1852,1896,3652,3696,12,2.066232681274414,77.02454929676462,True,3,SAFOD260010
38,1900,1948,3700,3748,13,1.619958519935608,24.47032696315244,True,3,SAFOD260010
39,1952,1996,3752,3796,12,2.844552516937256,49.46524043958327,True,3,SAFOD260010
40,2000,2048,3800,3848,13,2.169513702392578,29.989028309166475,True,3,SAFOD260010
41,2052,2096,3852,3896,12,2.329843044281006,34.187579744877794,True,3,SAFOD260010
42,2100,2148,3900,3948,13,2.3002829551696777,38.87117005551994,True,3,SAFOD260010
43,2152,2196,3952,3996,12,1.9726883172988892,18.550251139459533,True,3,SAFOD260010
44,2200,2248,4000,4048,13,1.8006863594055176,29.1076633118329,True,3,SAFOD260010
45,2252,2296,4052,4096,12,1.5412077903747559,17.2267584563145,True,3,SAFOD260010
46,2300,2348,4100,4148,13,1.4578360319137573,15.930141204028944,True,3,SAFOD260010
47,2352,2396,4152,4196,12,1.975644588470459,17.354373263116496,True,3,SAFOD260010
48,2400,2448,4200,4248,13,2.322406768798828,284.8945019265404,True,3,SAFOD260010
49,2452,2496,4252,4296,12,1.8719508647918701,36.576299741771194,True,3,SAFOD260010
50,2500,2548,4300,4348,13,2.1552209854125977,62.80627473647813,True,3,SAFOD260010
51,2552,2596,4352,4396,12,1.5925606489181519,226.2675394156628,True,3,SAFOD260010
