block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.0057655551093686,12,PASS
1,90,175,90,175,18,18,0.0054884081031840795,12,PASS
2,180,265,180,265,18,18,0.0063738025252999125,12,PASS
3,270,355,270,355,18,18,0.005946409044477721,12,PASS
4,360,445,360,445,18,18,0.005755692466040248,12,PASS
5,450,535,450,535,18,18,0.0059871884597381695,12,PASS
6,540,625,540,625,18,18,0.006455087309952768,12,PASS
7,630,715,630,715,18,18,0.006110870730126432,12,PASS
8,720,805,720,805,18,18,0.005923699285463353,12,PASS
9,810,895,810,895,18,18,0.005555613917259184,12,PASS
