column_index,locus_index,filtered_rms_phase_rad,finite,nonzero,usable,reason,amplitude_based_selection_used
0,0,0.2264846323735457,True,True,True,,False
5,5,0.31701780440079164,True,True,True,,False
10,10,0.3167089851536269,True,True,True,,False
15,15,0.25933427027013334,True,True,True,,False
20,20,0.027028457832101182,True,True,True,,False
25,25,0.007766278188800279,True,True,True,,False
30,30,0.005647528741072228,True,True,True,,False
35,35,0.0049593362244311195,True,True,True,,False
40,40,0.005883581477664972,True,True,True,,False
45,45,0.005065788862114242,True,True,True,,False
50,50,0.005438713638137588,True,True,True,,False
55,55,0.005316963311300115,True,True,True,,False
60,60,0.00533508858086312,True,True,True,,False
65,65,0.006592270344263989,True,True,True,,False
70,70,0.00486874179139724,True,True,True,,False
75,75,0.005384369979511378,True,True,True,,False
80,80,0.006232513893453392,True,True,True,,False
85,85,0.005039938282104819,True,True,True,,False
90,90,0.004856770150442018,True,True,True,,False
95,95,0.004944418437829547,True,True,True,,False
100,100,0.00464737037955725,True,True,True,,False
105,105,0.005886212622034326,True,True,True,,False
110,110,0.004448991444935647,True,True,True,,False
115,115,0.004312599025960246,True,True,True,,False
120,120,0.005236525997677209,True,True,True,,False
125,125,0.0055164145689350075,True,True,True,,False
130,130,0.0053316737804471465,True,True,True,,False
135,135,0.005227719200473198,True,True,True,,False
140,140,0.008864673267936997,True,True,True,,False
145,145,0.14192387313891935,True,True,True,,False
150,150,0.006014315525942165,True,True,True,,False
155,155,0.00602802719299989,True,True,True,,False
160,160,0.005652949904013352,True,True,True,,False
165,165,0.005647224698739037,True,True,True,,False
170,170,0.005770011122576383,True,True,True,,False
175,175,0.005460401637433151,True,True,True,,False
180,180,0.006688033833381131,True,True,True,,False
185,185,0.005724283060007532,True,True,True,,False
190,190,0.0059293917227788385,True,True,True,,False
195,195,0.0071134305912866095,True,True,True,,False
200,200,0.005778472635546698,True,True,True,,False
205,205,0.005613427987000365,True,True,True,,False
210,210,0.0063914317891637165,True,True,True,,False
215,215,0.006682835120171702,True,True,True,,False
220,220,0.005549491027061998,True,True,True,,False
225,225,0.006618375030793647,True,True,True,,False
230,230,0.006937122942340285,True,True,True,,False
235,235,0.006327261534156938,True,True,True,,False
240,240,0.006171115211573501,True,True,True,,False
245,245,0.007284649766391442,True,True,True,,False
250,250,0.006540164860830382,True,True,True,,False
255,255,0.0060484211777773154,True,True,True,,False
260,260,0.006724888512706331,True,True,True,,False
265,265,0.0063561732614361086,True,True,True,,False
270,270,0.005870565580642057,True,True,True,,False
275,275,0.005809733495420813,True,True,True,,False
280,280,0.007059082126151669,True,True,True,,False
285,285,0.006456723954488548,True,True,True,,False
290,290,0.005788892345628527,True,True,True,,False
295,295,0.007402836636815851,True,True,True,,False
300,300,0.006291621149904561,True,True,True,,False
305,305,0.005042359387880735,True,True,True,,False
310,310,0.0057423037426179106,True,True,True,,False
315,315,0.006022252508313384,True,True,True,,False
320,320,0.005481800567616253,True,True,True,,False
325,325,0.005008960489157566,True,True,True,,False
330,330,0.006214649265662965,True,True,True,,False
335,335,0.006404814216190681,True,True,True,,False
340,340,0.007243621948938879,True,True,True,,False
345,345,0.005581439779531655,True,True,True,,False
350,350,0.005490501869537908,True,True,True,,False
355,355,0.006341845556538211,True,True,True,,False
360,360,0.006135923084915705,True,True,True,,False
365,365,0.005111706036154803,True,True,True,,False
370,370,0.0053236523364602615,True,True,True,,False
375,375,0.004724543704032675,True,True,True,,False
380,380,0.005458643623843232,True,True,True,,False
385,385,0.004997801434514861,True,True,True,,False
390,390,0.0053246861536568576,True,True,True,,False
395,395,0.005887314323465622,True,True,True,,False
400,400,0.005624070608614873,True,True,True,,False
405,405,0.006049927141794875,True,True,True,,False
410,410,0.0059733971977806825,True,True,True,,False
415,415,0.005182249009183285,True,True,True,,False
420,420,0.007431376251694767,True,True,True,,False
425,425,0.007344873656937257,True,True,True,,False
430,430,0.00817506146079904,True,True,True,,False
435,435,0.009226916504809897,True,True,True,,False
440,440,0.0061553230277358,True,True,True,,False
445,445,0.005299136611699881,True,True,True,,False
450,450,0.009538300229928322,True,True,True,,False
455,455,0.0059719682782403295,True,True,True,,False
460,460,0.006806371858044507,True,True,True,,False
465,465,0.0060623551227007785,True,True,True,,False
470,470,0.005709224392093205,True,True,True,,False
475,475,0.005350502032470838,True,True,True,,False
480,480,0.005178172184362086,True,True,True,,False
485,485,0.006564982338891506,True,True,True,,False
490,490,0.0064570777976829825,True,True,True,,False
495,495,0.005724743711935457,True,True,True,,False
500,500,0.0060024086412360095,True,True,True,,False
505,505,0.006732823329595887,True,True,True,,False
510,510,0.005143744844699507,True,True,True,,False
515,515,0.005082099360526065,True,True,True,,False
520,520,0.006058383766685801,True,True,True,,False
525,525,0.0055832345230596644,True,True,True,,False
530,530,0.0062867999922666794,True,True,True,,False
535,535,0.005685186620334378,True,True,True,,False
540,540,0.006970887020255752,True,True,True,,False
545,545,0.0066140048204489515,True,True,True,,False
550,550,0.005963760816459614,True,True,True,,False
555,555,0.0064458615090375185,True,True,True,,False
560,560,0.00613119310719204,True,True,True,,False
565,565,0.0060895091554124085,True,True,True,,False
570,570,0.005492065878446859,True,True,True,,False
575,575,0.006328883903659162,True,True,True,,False
580,580,0.006464313110868019,True,True,True,,False
585,585,0.005420489272084806,True,True,True,,False
590,590,0.006579347339898423,True,True,True,,False
595,595,0.007459960830551659,True,True,True,,False
600,600,0.006056356374161653,True,True,True,,False
605,605,0.0065965771628035096,True,True,True,,False
610,610,0.007039138303844882,True,True,True,,False
615,615,0.0068683981856827465,True,True,True,,False
620,620,0.005553402248584391,True,True,True,,False
625,625,0.006538115851293475,True,True,True,,False
630,630,0.007295352861360435,True,True,True,,False
635,635,0.005328620488716517,True,True,True,,False
640,640,0.0061466306881304235,True,True,True,,False
645,645,0.0070790758500158205,True,True,True,,False
650,650,0.006483588683874199,True,True,True,,False
655,655,0.0049693327307779745,True,True,True,,False
660,660,0.005657907880140709,True,True,True,,False
665,665,0.0055471933530613846,True,True,True,,False
670,670,0.00511099021137295,True,True,True,,False
675,675,0.006021795724509131,True,True,True,,False
680,680,0.006223365383903729,True,True,True,,False
685,685,0.0068075931430383345,True,True,True,,False
690,690,0.007207098299627315,True,True,True,,False
695,695,0.006193161912781117,True,True,True,,False
700,700,0.006269494744710584,True,True,True,,False
705,705,0.005810019561420758,True,True,True,,False
710,710,0.004949175582316631,True,True,True,,False
715,715,0.0060751107721224405,True,True,True,,False
720,720,0.005076112730969476,True,True,True,,False
725,725,0.005057869809329108,True,True,True,,False
730,730,0.0061459484756296485,True,True,True,,False
735,735,0.004761593412703096,True,True,True,,False
740,740,0.006217842288513257,True,True,True,,False
745,745,0.006234680805231012,True,True,True,,False
750,750,0.004791757773156034,True,True,True,,False
755,755,0.07518651410137371,True,True,True,,False
760,760,0.00684183842228529,True,True,True,,False
765,765,0.005081117917657175,True,True,True,,False
770,770,0.005891311267996154,True,True,True,,False
775,775,0.0072994500845208745,True,True,True,,False
780,780,0.005336923049380447,True,True,True,,False
785,785,0.005717478568182683,True,True,True,,False
790,790,0.007169633836803666,True,True,True,,False
795,795,0.0064020381112696425,True,True,True,,False
800,800,0.005956087302930552,True,True,True,,False
805,805,0.0057278094799339384,True,True,True,,False
810,810,0.00686541465683549,True,True,True,,False
815,815,0.005557726896607935,True,True,True,,False
820,820,0.005408277841488755,True,True,True,,False
825,825,0.006778987397420088,True,True,True,,False
830,830,0.005260286902943509,True,True,True,,False
835,835,0.007311760481984512,True,True,True,,False
840,840,0.005444693304425999,True,True,True,,False
845,845,0.005553500937910432,True,True,True,,False
850,850,0.0072720495188356975,True,True,True,,False
855,855,0.006021996728474898,True,True,True,,False
860,860,0.005037174760757266,True,True,True,,False
865,865,0.008037088517581014,True,True,True,,False
870,870,0.005952089759842398,True,True,True,,False
875,875,0.005153809051573093,True,True,True,,False
880,880,0.005261418888981077,True,True,True,,False
885,885,0.00518977176292483,True,True,True,,False
890,890,0.01978814433972063,True,True,True,,False
895,895,0.004746939397232823,True,True,True,,False
