interval_id,template_event_id,usable_component_count,usable_station_count,median_template_trace_snr,scored_component_count,scored_station_count,status,reason
heldout_03,21204713,13,5,184.71204804313908,13,5,PASS,eligible_template
heldout_03,21212835,9,4,47.703274052403,9,4,PASS,eligible_template
heldout_03,40220017,18,6,207.06535471697455,18,6,PASS,eligible_template
heldout_03,40237728,15,5,139.58175969379047,15,5,PASS,eligible_template
heldout_03,51214531,18,6,349.90497104207657,18,6,PASS,eligible_template
heldout_03,71325295,19,7,330.8618369370983,19,7,PASS,eligible_template
heldout_03,71567810,18,6,490.3302963420631,18,6,PASS,eligible_template
heldout_03,71908906,18,6,265.6244759898136,18,6,PASS,eligible_template
heldout_03,72154411,14,5,449.8051619132441,14,5,PASS,eligible_template
heldout_03,72359026,19,7,348.31796163920745,19,7,PASS,eligible_template
