interval_id,interval_start_utc,interval_end_utc,source_name,network,request_url,request_padding_s,access_role,status,trace_count,waveform_path,waveform_sha256,provenance_path,provenance_sha256,error
heldout_04,2024-06-18T12:09:53.565Z,2024-06-18T13:09:53.565Z,ncsn_psm,NC,https://service.ncedc.org/fdsnws/dataselect/1/query?net=NC&sta=PSM&loc=%2A&cha=EHE%2CEHN%2CEHZ&start=2024-06-18T12%3A09%3A38.565Z&end=2024-06-18T13%3A10%3A08.565Z,15.0,registered_heldout_network_only,available,3,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_04/ncsn_psm.mseed,d8a25386f262963b2a03e52a9a0cd58db2c352d4a07dc3270002a02b43de7559,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_04/ncsn_psm.provenance.json,4a3f019fd907d378a6a62a0b7c94e44137092ac4d355f5c60856d0c39d6a7737,
heldout_04,2024-06-18T12:09:53.565Z,2024-06-18T13:09:53.565Z,bdsn_pkd,BK,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BK&sta=PKD&loc=%2A&cha=HHE%2CHHN%2CHHZ&start=2024-06-18T12%3A09%3A38.565Z&end=2024-06-18T13%3A10%3A08.565Z,15.0,registered_heldout_network_only,available,3,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_04/bdsn_pkd.mseed,c4762d4fa154a6eadd767542a9e3756310d0e5145dca73d2faca3598c127a7ec,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_04/bdsn_pkd.provenance.json,fdedd29edc0ed8c4332082ec7073cf3bfd75724ed07835ef61b509fbf618ae78,
heldout_05,2024-12-25T05:11:40.832Z,2024-12-25T06:11:40.832Z,hrsn_full,BP,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BP&sta=CCRB%2CEADB%2CFROB%2CGHIB%2CJCNB%2CJCSB%2CLCCB%2CMMNB%2CRMNB%2CSCYB%2CSMNB%2CVARB&loc=%2A&cha=DP1%2CDP2%2CDP3&start=2024-12-25T05%3A11%3A25.832Z&end=2024-12-25T06%3A11%3A55.832Z,15.0,registered_heldout_network_only,available,26,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_05/hrsn_full.mseed,ef562e9984528ac1b8c75c14d438ba0eed1d42a8afee7362eb04e54f8b397cdb,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_05/hrsn_full.provenance.json,99402ba16323b029441f7a479e7ad819fb52d2e61776b3a0feb93500b3275709,
heldout_05,2024-12-25T05:11:40.832Z,2024-12-25T06:11:40.832Z,ncsn_psm,NC,https://service.ncedc.org/fdsnws/dataselect/1/query?net=NC&sta=PSM&loc=%2A&cha=EHE%2CEHN%2CEHZ&start=2024-12-25T05%3A11%3A25.832Z&end=2024-12-25T06%3A11%3A55.832Z,15.0,registered_heldout_network_only,available,3,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_05/ncsn_psm.mseed,843c1deb88cd79cdf9506f39e1dad130722fa31c5124a42bb541e6e5b322f109,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_05/ncsn_psm.provenance.json,adb73905389e922df5cc8d4385602e33a6d86614cf5414d95c9f709ea8b4cbf2,
heldout_05,2024-12-25T05:11:40.832Z,2024-12-25T06:11:40.832Z,bdsn_pkd,BK,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BK&sta=PKD&loc=%2A&cha=HHE%2CHHN%2CHHZ&start=2024-12-25T05%3A11%3A25.832Z&end=2024-12-25T06%3A11%3A55.832Z,15.0,registered_heldout_network_only,available,3,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_05/bdsn_pkd.mseed,53a1f4eb70b6f67358ee66e58d8e19793a4d80546878e3864cc1482097b7c208,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_05/bdsn_pkd.provenance.json,f93c8d64aab19cc2dfd60ed590dd855813ef49474619f29886582d1af31db15d,
heldout_06,2025-01-03T03:54:15.472Z,2025-01-03T04:54:15.472Z,hrsn_full,BP,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BP&sta=CCRB%2CEADB%2CFROB%2CGHIB%2CJCNB%2CJCSB%2CLCCB%2CMMNB%2CRMNB%2CSCYB%2CSMNB%2CVARB&loc=%2A&cha=DP1%2CDP2%2CDP3&start=2025-01-03T03%3A54%3A00.472Z&end=2025-01-03T04%3A54%3A30.472Z,15.0,registered_heldout_network_only,available,20,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_06/hrsn_full.mseed,eb5d871515aa5302536b5021cf14e287f18a72f0f194303f3810d3afa9d03289,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_06/hrsn_full.provenance.json,9f4b204afcfe23f8035a10f009d433eee7623ceef57975e26772f00c31c11fa6,
heldout_06,2025-01-03T03:54:15.472Z,2025-01-03T04:54:15.472Z,ncsn_psm,NC,https://service.ncedc.org/fdsnws/dataselect/1/query?net=NC&sta=PSM&loc=%2A&cha=EHE%2CEHN%2CEHZ&start=2025-01-03T03%3A54%3A00.472Z&end=2025-01-03T04%3A54%3A30.472Z,15.0,registered_heldout_network_only,available,3,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_06/ncsn_psm.mseed,9bf1d52bd086a5fce6f3218e83c9277aeb80eabfbab2f1d995f46e8125af3e9e,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_06/ncsn_psm.provenance.json,cf820125b4abbc4ff7d36053db2d99b3451b44273dad99cf8470bc62645f3a9f,
heldout_06,2025-01-03T03:54:15.472Z,2025-01-03T04:54:15.472Z,bdsn_pkd,BK,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BK&sta=PKD&loc=%2A&cha=HHE%2CHHN%2CHHZ&start=2025-01-03T03%3A54%3A00.472Z&end=2025-01-03T04%3A54%3A30.472Z,15.0,registered_heldout_network_only,available,3,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_06/bdsn_pkd.mseed,4f47ce45980e706b9bf7629c5472053d52e64144b30f29efe7c887df3e0300a7,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_06/bdsn_pkd.provenance.json,1178a7e03cbdb3090be7d240b2774638da846b3f8bfdc3941b57d93aacfa32fa,
heldout_07,2025-01-27T01:33:30.406Z,2025-01-27T02:33:30.406Z,hrsn_full,BP,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BP&sta=CCRB%2CEADB%2CFROB%2CGHIB%2CJCNB%2CJCSB%2CLCCB%2CMMNB%2CRMNB%2CSCYB%2CSMNB%2CVARB&loc=%2A&cha=DP1%2CDP2%2CDP3&start=2025-01-27T01%3A33%3A15.406Z&end=2025-01-27T02%3A33%3A45.406Z,15.0,registered_heldout_network_only,available,23,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_07/hrsn_full.mseed,2f65b0f7320251c1ccb9fa18596ed1ccf50f3666c117a03f5a4eef7a51613bbc,/home/groups/ettore88/nberrios/safod_das_git/notebooks/faultzone/repeaters_v2/cached_continuous/network/heldout_v1/heldout_07/hrsn_full.provenance.json,3393e2734b094a0e850e3daa44d8508c6013a2c640451c888132f8a9dfd26e1e,
heldout_07,2025-01-27T01:33:30.406Z,2025-01-27T02:33:30.406Z,ncsn_psm,NC,https://service.ncedc.org/fdsnws/dataselect/1/query?net=NC&sta=PSM&loc=%2A&cha=EHE%2CEHN%2CEHZ&start=2025-01-27T01%3A33%3A15.406Z&end=2025-01-27T02%3A33%3A45.406Z,15.0,registered_heldout_network_only,unavailable,0,,,,,RuntimeError: empty held-out network response for heldout_07 ncsn_psm
