interval_id,union_candidate_id,representative_time,representative_epoch_s,representative_time_basis,branch_membership,branch_count,template_candidate_id,template_origin_time,template_origin_epoch_s,template_bank_score,template_threshold,generic_candidate_id,generic_trigger_time,generic_trigger_epoch_s,generic_coincidence_score,generic_threshold,generic_station_support_count,cross_branch_time_difference_s,union_generation_rule,catalog_fields_used_in_grouping,family_assignment
heldout_01,network_union_heldout_01_0001,2024-05-27T17:19:17.598Z,1716830357.598,template_origin,template_bank,1,network_template_heldout_01_0001,2024-05-27T17:19:17.598Z,1716830357.598,0.11046642065048218,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_01,network_union_heldout_01_0002,2024-05-27T17:36:14.698Z,1716831374.698,template_origin,template_bank,1,network_template_heldout_01_0002,2024-05-27T17:36:14.698Z,1716831374.698,0.11851855367422104,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_01,network_union_heldout_01_0003,2024-05-27T17:41:34.098Z,1716831694.098,template_origin,template_bank,1,network_template_heldout_01_0003,2024-05-27T17:41:34.098Z,1716831694.098,0.1092195063829422,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_01,network_union_heldout_01_0004,2024-05-27T17:48:45.748Z,1716832125.748,template_origin,template_bank,1,network_template_heldout_01_0004,2024-05-27T17:48:45.748Z,1716832125.748,0.12143386155366898,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_01,network_union_heldout_01_0005,2024-05-27T17:50:56.398Z,1716832256.398,template_origin,template_bank,1,network_template_heldout_01_0005,2024-05-27T17:50:56.398Z,1716832256.398,0.13491418957710266,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_02,network_union_heldout_02_0001,2024-06-12T22:02:44.933Z,1718229764.9329998,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_02_0001,2024-06-12T22:02:44.933Z,1718229764.9329998,2.7429981231689453,1.5937319993972778,5,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_03,network_union_heldout_03_0001,2024-06-16T03:37:52.059Z,1718509072.059,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_03_0001,2024-06-16T03:37:52.059Z,1718509072.059,3.397728204727173,1.5937319993972778,6,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_03,network_union_heldout_03_0002,2024-06-16T03:42:02.609Z,1718509322.609,template_origin,template_bank,1,network_template_heldout_03_0001,2024-06-16T03:42:02.609Z,1718509322.609,0.12075627595186234,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_03,network_union_heldout_03_0003,2024-06-16T03:52:19.459Z,1718509939.4589999,template_origin,template_bank,1,network_template_heldout_03_0002,2024-06-16T03:52:19.459Z,1718509939.4589999,0.11247123032808304,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_03,network_union_heldout_03_0004,2024-06-16T03:57:50.359Z,1718510270.359,template_origin,template_bank,1,network_template_heldout_03_0003,2024-06-16T03:57:50.359Z,1718510270.359,0.12613838911056519,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
