reference_event_id,comparison_event_id,band_low_hz,band_high_hz,usable_component_count,usable_station_count,median_correlation,p10_correlation,common_lag_s,differential_lag_rms_s,differential_lag_mad_s,station_lag_p10_p90_span_s,status,lag_definition
51214531,75021072,5.0,20.0,15,6,0.4792890808935558,0.2578756972011215,-0.19,0.17482419740985514,0.08799999999999998,0.3625,PASS,station_median_peak_lag_minus_network_station_median
51214531,75120101,5.0,20.0,20,8,0.38583993651784654,0.23726595283791843,-0.024,0.12142899159591172,0.065,0.28479999999999994,PASS,station_median_peak_lag_minus_network_station_median
51214531,75120116,5.0,20.0,21,9,0.37918134757240735,0.2457852362485435,0.028,0.11608617488745161,0.064,0.27040000000000003,PASS,station_median_peak_lag_minus_network_station_median
51214531,75153522,5.0,20.0,21,9,0.43153019021329747,0.25436285767666444,-0.2,0.12562554588051658,0.030000000000000027,0.20320000000000002,PASS,station_median_peak_lag_minus_network_station_median
51214531,75162676,5.0,20.0,25,11,0.5422709139420968,0.3320041912842917,-0.012,0.026575792128791333,0.008,0.059,PASS,station_median_peak_lag_minus_network_station_median
71325295,75021072,5.0,20.0,15,6,0.4797138641663441,0.2612193503722586,-0.18,0.155933746614815,0.054,0.30100000000000005,PASS,station_median_peak_lag_minus_network_station_median
71325295,75120101,5.0,20.0,20,7,0.3852262448059169,0.23730403219075424,-0.016,0.11296522853136207,0.064,0.24240000000000006,PASS,station_median_peak_lag_minus_network_station_median
71325295,75120116,5.0,20.0,22,8,0.3784687087781138,0.2508409274008544,0.03,0.1077038764390586,0.065,0.21639999999999998,PASS,station_median_peak_lag_minus_network_station_median
71325295,75153522,5.0,20.0,23,9,0.42815688963231774,0.26905057672307814,-0.192,0.2339477624504145,0.076,0.42560000000000003,PASS,station_median_peak_lag_minus_network_station_median
71325295,75162676,5.0,20.0,27,10,0.5345620161749182,0.3312862313406062,-0.005,0.027234169713798877,0.007000000000000001,0.05409999999999999,PASS,station_median_peak_lag_minus_network_station_median
71567810,75021072,5.0,20.0,20,7,0.48486487743815376,0.3029582744805313,-0.17,0.14546477236774547,0.017999999999999988,0.2728000000000001,PASS,station_median_peak_lag_minus_network_station_median
71567810,75120101,5.0,20.0,24,9,0.38995157968560035,0.22920649394924444,-0.008,0.13023397747473156,0.064,0.3024,PASS,station_median_peak_lag_minus_network_station_median
71567810,75120116,5.0,20.0,26,10,0.38039455267212996,0.24110256324583534,0.041999999999999996,0.12667438572971254,0.065,0.29079999999999995,PASS,station_median_peak_lag_minus_network_station_median
71567810,75153522,5.0,20.0,28,11,0.4278588818573894,0.29849480569207654,-0.188,0.22213591253186338,0.08,0.496,PASS,station_median_peak_lag_minus_network_station_median
71567810,75162676,5.0,20.0,29,11,0.5285514774201616,0.3265120824753424,0.008,0.028476465562093392,0.012,0.064,PASS,station_median_peak_lag_minus_network_station_median
71908906,75021072,5.0,20.0,21,8,0.4415975057518155,0.25973908828138487,-0.152,0.1498453369311171,0.05499999999999999,0.3107,PASS,station_median_peak_lag_minus_network_station_median
71908906,75120101,5.0,20.0,24,9,0.3917538297884255,0.24177771540741283,0.008,0.11689501462613555,0.068,0.2744,PASS,station_median_peak_lag_minus_network_station_median
71908906,75120116,5.0,20.0,25,10,0.3816259097991997,0.25870971068947335,0.075,0.1090073392024592,0.067,0.2608,PASS,station_median_peak_lag_minus_network_station_median
71908906,75153522,5.0,20.0,31,12,0.39307851191445387,0.2382373499588494,-0.132,0.19395274338525523,0.056,0.33520000000000005,PASS,station_median_peak_lag_minus_network_station_median
71908906,75162676,5.0,20.0,33,13,0.46548650862043456,0.3197804413667375,0.022,0.10393970145455267,0.009999999999999998,0.07840000000000001,PASS,station_median_peak_lag_minus_network_station_median
72154411,75021072,5.0,20.0,15,6,0.40244417620716516,0.23340850649144182,-0.098,0.08058949476617078,0.048,0.16200000000000003,PASS,station_median_peak_lag_minus_network_station_median
72154411,75120101,5.0,20.0,19,7,0.37343685292665807,0.2466508204135713,0.06,0.10656185326573751,0.036,0.20960000000000004,PASS,station_median_peak_lag_minus_network_station_median
72154411,75120116,5.0,20.0,21,8,0.3711980624745399,0.2520782624999115,0.086,0.07087665341986739,0.04200000000000001,0.13340000000000002,PASS,station_median_peak_lag_minus_network_station_median
72154411,75153522,5.0,20.0,25,10,0.38990555100170277,0.24234655901724814,-0.156,0.0747475752115077,0.049999999999999996,0.12679999999999997,PASS,station_median_peak_lag_minus_network_station_median
72154411,75162676,5.0,20.0,29,11,0.43980588022627587,0.30237346960785716,0.038,0.07558018018213265,0.005999999999999998,0.044000000000000004,PASS,station_median_peak_lag_minus_network_station_median
72359026,75021072,5.0,20.0,19,8,0.4424105845857738,0.24988555589508646,-0.14200000000000002,0.13308455958525017,0.010999999999999982,0.22319999999999993,PASS,station_median_peak_lag_minus_network_station_median
72359026,75120101,5.0,20.0,22,8,0.4021693080782432,0.24421864854552072,0.033,0.04811444689487763,0.034999999999999996,0.10939999999999998,PASS,station_median_peak_lag_minus_network_station_median
72359026,75120116,5.0,20.0,24,9,0.39876121887345584,0.2617956261607141,0.06,0.08492349498224859,0.06,0.2228,PASS,station_median_peak_lag_minus_network_station_median
72359026,75153522,5.0,20.0,25,10,0.40308049062079593,0.2360151006682595,-0.157,0.22343723951033764,0.081,0.4399999999999999,PASS,station_median_peak_lag_minus_network_station_median
72359026,75162676,5.0,20.0,29,11,0.5233955765897256,0.30859187198440075,0.032,0.07954929860841585,0.008,0.079,PASS,station_median_peak_lag_minus_network_station_median
