event_id,origin_time,published_sequence_id,is_published_target,eligible_target_anchor_count,target_anchors_used,target_anchor_event_ids,median_target_correlation,median_target_differential_lag_rms_s,score_status,score_reason,frozen_decision,decision_reason,correlation_threshold,differential_lag_rms_threshold_s
75120116,2025-01-20T05:24:29.130Z,PROSPECTIVE_UNLABELED,False,6,6,72359026;71908906;71567810;51214531;71325295;72154411,0.3797879501222686,0.1083556078207589,PASS,eligible,not_target_family,correlation_gate_fail,0.966109158079069,0.012012057489268927
75120101,2025-01-20T05:14:48.490Z,PROSPECTIVE_UNLABELED,False,6,6,72359026;71908906;71567810;51214531;71325295;72154411,0.38789575810172344,0.11493012157874881,PASS,eligible,not_target_family,correlation_gate_fail,0.966109158079069,0.012012057489268927
75021072,2024-06-12T01:58:45.580Z,PROSPECTIVE_UNLABELED,False,6,6,71567810;71325295;51214531;72359026;71908906;72154411,0.46084983273966484,0.1476550546494313,PASS,eligible,not_target_family,correlation_gate_fail,0.966109158079069,0.012012057489268927
75153522,2025-03-23T00:02:18.260Z,PROSPECTIVE_UNLABELED,False,6,6,51214531;71325295;71567810;72359026;71908906;72154411,0.41546968623909264,0.20804432795855932,PASS,eligible,not_target_family,correlation_gate_fail,0.966109158079069,0.012012057489268927
75162676,2025-04-10T01:01:44.360Z,PROSPECTIVE_UNLABELED,False,6,6,51214531;71325295;71567810;72359026;71908906;72154411,0.5259735270049436,0.05202832287211302,PASS,eligible,not_target_family,correlation_gate_fail,0.966109158079069,0.012012057489268927
