event,low_hz,high_hz,median_channel_signal_noise_ratio,fraction_channels_signal_noise_at_least_3
Known earthquake 75120101,2.0,10.0,3.59602378479725,0.6388888888888888
Known earthquake 75120101,5.0,20.0,4.113897180883395,0.6888888888888889
Known earthquake 75120101,10.0,40.0,3.8239416755047904,0.6722222222222223
Known earthquake 75120101,2.0,40.0,3.794342275141645,0.6611111111111111
Known earthquake 75120116,2.0,10.0,18.96745038353004,0.9666666666666667
Known earthquake 75120116,5.0,20.0,27.275255301664856,0.9666666666666667
Known earthquake 75120116,10.0,40.0,30.06925378011249,0.9833333333333333
Known earthquake 75120116,2.0,40.0,25.26880481650425,0.9722222222222222
