event_id,origin_time,distance_3d_m,magnitude,decision,membership_status,error,catalog_source,scoring_method,diagnostic_scope,catalog_status,config_sha256
21431748,2005-01-03T15:57:05.160Z,66.87550244163843,1.5,download_or_data_error,insufficient_data,RuntimeError: empty HRSN response for event 21431748,NCEDC_DD,HRSN_multistation_multiband_single_anchor_v2,frozen_38_event_spatial_magnitude_shortlist,candidate_only_not_validated,1baa6c0b2bb1b381ef5da96fc4a1249a6a2f6dae62efb40b4c5a27dd927e9160
21146594,2001-02-07T08:53:44.035Z,70.619129617389,1.3,download_or_data_error,insufficient_data,RuntimeError: empty HRSN response for event 21146594,NCEDC_DD,HRSN_multistation_multiband_single_anchor_v2,frozen_38_event_spatial_magnitude_shortlist,candidate_only_not_validated,1baa6c0b2bb1b381ef5da96fc4a1249a6a2f6dae62efb40b4c5a27dd927e9160
21260771,2002-12-22T12:53:13.210Z,72.37082368386417,1.1,download_or_data_error,insufficient_data,RuntimeError: empty HRSN response for event 21260771,NCEDC_DD,HRSN_multistation_multiband_single_anchor_v2,frozen_38_event_spatial_magnitude_shortlist,candidate_only_not_validated,1baa6c0b2bb1b381ef5da96fc4a1249a6a2f6dae62efb40b4c5a27dd927e9160
21260770,2002-12-22T12:44:44.730Z,106.16480781842627,1.5,download_or_data_error,insufficient_data,RuntimeError: empty HRSN response for event 21260770,NCEDC_DD,HRSN_multistation_multiband_single_anchor_v2,frozen_38_event_spatial_magnitude_shortlist,candidate_only_not_validated,1baa6c0b2bb1b381ef5da96fc4a1249a6a2f6dae62efb40b4c5a27dd927e9160
