interval_id,union_candidate_id,representative_time,representative_epoch_s,representative_time_basis,branch_membership,branch_count,template_candidate_id,template_origin_time,template_origin_epoch_s,template_bank_score,template_threshold,generic_candidate_id,generic_trigger_time,generic_trigger_epoch_s,generic_coincidence_score,generic_threshold,generic_station_support_count,cross_branch_time_difference_s,union_generation_rule,catalog_fields_used_in_grouping,family_assignment,catalog_audit_stage,target_catalog_association,target_catalog_event_id,target_catalog_origin_time,template_target_time_residual_s,generic_target_time_residual_s,broader_catalog_association,broader_catalog_event_id,broader_catalog_origin_time,broader_catalog_location_name,broader_catalog_magnitude,broader_catalog_horizontal_distance_km,broader_catalog_path_distance_km,broader_catalog_observed_delay_s,broader_catalog_nominal_timing_residual_s,broader_catalog_plausible_match_count,catalog_event_id_final,known_event_class,family_neighborhood_horizontal_distance_km,family_neighborhood_depth_difference_km,family_neighborhood_spatial_annotation,evaluation_unit_id,catalog_detection_extension_status,repeater_family_extension_status,local_extension_disposition,catalog_conflict_STOP,eligible_for_independent_DAS_comparison
heldout_01,network_union_heldout_01_0001,2024-05-27T17:19:17.598Z,1716830357.598,template_origin,template_bank,1,network_template_heldout_01_0001,2024-05-27T17:19:17.598Z,1716830357.598,0.11046642065048218,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_frozen_union_catalog_only,none,,,,,not_applicable_template_time_is_origin_not_array_arrival,,,,,,,,,0,,catalog_unassociated_template_only_inconclusive,,,not_available,candidate:network_union_heldout_01_0001,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,retain_not_automatically_new,False,True
heldout_01,network_union_heldout_01_0002,2024-05-27T17:36:14.698Z,1716831374.698,template_origin,template_bank,1,network_template_heldout_01_0002,2024-05-27T17:36:14.698Z,1716831374.698,0.11851855367422104,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_frozen_union_catalog_only,none,,,,,not_applicable_template_time_is_origin_not_array_arrival,,,,,,,,,0,,catalog_unassociated_template_only_inconclusive,,,not_available,candidate:network_union_heldout_01_0002,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,retain_not_automatically_new,False,True
heldout_01,network_union_heldout_01_0003,2024-05-27T17:41:34.098Z,1716831694.098,template_origin,template_bank,1,network_template_heldout_01_0003,2024-05-27T17:41:34.098Z,1716831694.098,0.1092195063829422,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_frozen_union_catalog_only,none,,,,,not_applicable_template_time_is_origin_not_array_arrival,,,,,,,,,0,,catalog_unassociated_template_only_inconclusive,,,not_available,candidate:network_union_heldout_01_0003,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,retain_not_automatically_new,False,True
heldout_01,network_union_heldout_01_0004,2024-05-27T17:48:45.748Z,1716832125.748,template_origin,template_bank,1,network_template_heldout_01_0004,2024-05-27T17:48:45.748Z,1716832125.748,0.12143386155366898,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_frozen_union_catalog_only,none,,,,,not_applicable_template_time_is_origin_not_array_arrival,,,,,,,,,0,,catalog_unassociated_template_only_inconclusive,,,not_available,candidate:network_union_heldout_01_0004,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,retain_not_automatically_new,False,True
heldout_01,network_union_heldout_01_0005,2024-05-27T17:50:56.398Z,1716832256.398,template_origin,template_bank,1,network_template_heldout_01_0005,2024-05-27T17:50:56.398Z,1716832256.398,0.13491418957710266,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_frozen_union_catalog_only,none,,,,,not_applicable_template_time_is_origin_not_array_arrival,,,,,,,,,0,,catalog_unassociated_template_only_inconclusive,,,not_available,candidate:network_union_heldout_01_0005,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,retain_not_automatically_new,False,True
heldout_02,network_union_heldout_02_0001,2024-06-12T22:02:44.933Z,1718229764.9329998,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_02_0001,2024-06-12T22:02:44.933Z,1718229764.9329998,2.7429981231689453,1.5937319993972778,5,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_frozen_union_catalog_only,none,,,,,none,,,,,,,,,0,,catalog_unassociated_generic_candidate,,,not_available,candidate:network_union_heldout_02_0001,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,retain_not_automatically_new,False,True
heldout_03,network_union_heldout_03_0001,2024-06-16T03:37:52.059Z,1718509072.059,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_03_0001,2024-06-16T03:37:52.059Z,1718509072.059,3.397728204727173,1.5937319993972778,6,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_frozen_union_catalog_only,none,,,,,physically_plausible_known_event_arrival,75022827,2024-06-16T03:37:46.130Z,"Avenal, CA",0.7,23.3975016853301,24.362823832943192,5.928999900817871,1.8685292619940057,1,75022827,known_regional_arrival_outside_target_box,23.3975016853301,1.9589999999999996,outside_target_catalog_box,catalog:75022827,known_catalog_event_not_detection_extension,not_evaluated_catalog_evidence_cannot_assign_family,retain_known_event_for_later_repeater_classification,False,True
heldout_03,network_union_heldout_03_0002,2024-06-16T03:42:02.609Z,1718509322.609,template_origin,template_bank,1,network_template_heldout_03_0001,2024-06-16T03:42:02.609Z,1718509322.609,0.12075627595186234,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_frozen_union_catalog_only,none,,,,,not_applicable_template_time_is_origin_not_array_arrival,,,,,,,,,0,,catalog_unassociated_template_only_inconclusive,,,not_available,candidate:network_union_heldout_03_0002,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,retain_not_automatically_new,False,True
heldout_03,network_union_heldout_03_0003,2024-06-16T03:52:19.459Z,1718509939.4589999,template_origin,template_bank,1,network_template_heldout_03_0002,2024-06-16T03:52:19.459Z,1718509939.4589999,0.11247123032808304,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_frozen_union_catalog_only,none,,,,,not_applicable_template_time_is_origin_not_array_arrival,,,,,,,,,0,,catalog_unassociated_template_only_inconclusive,,,not_available,candidate:network_union_heldout_03_0003,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,retain_not_automatically_new,False,True
heldout_03,network_union_heldout_03_0004,2024-06-16T03:57:50.359Z,1718510270.359,template_origin,template_bank,1,network_template_heldout_03_0003,2024-06-16T03:57:50.359Z,1718510270.359,0.12613838911056519,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_frozen_union_catalog_only,none,,,,,not_applicable_template_time_is_origin_not_array_arrival,,,,,,,,,0,,catalog_unassociated_template_only_inconclusive,,,not_available,candidate:network_union_heldout_03_0004,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,retain_not_automatically_new,False,True
