block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,median_channel_snr,peak_robust_z,detected,event_id,role
0,0,48,1800,1848,13,1.1108267307281494,8.48396490131088,True,75336682,deep_template
1,52,96,1852,1896,12,1.06173837184906,7.272920845786263,True,75336682,deep_template
2,100,148,1900,1948,13,1.1198723316192627,25.24284010845825,True,75336682,deep_template
3,152,196,1952,1996,12,10.389960289001465,165.2363742730965,True,75336682,deep_template
4,200,248,2000,2048,13,5.15382194519043,181.81259387686967,True,75336682,deep_template
5,252,296,2052,2096,12,9.639591217041016,786.899226993634,True,75336682,deep_template
6,300,348,2100,2148,13,4.704595565795898,151.2089650268189,True,75336682,deep_template
7,352,396,2152,2196,12,4.300987243652344,118.32341449391983,True,75336682,deep_template
8,400,448,2200,2248,13,7.520376205444336,72.34127039762588,True,75336682,deep_template
9,452,496,2252,2296,12,10.765056610107422,587.184228279499,True,75336682,deep_template
10,500,548,2300,2348,13,4.958482265472412,279.6583128787283,True,75336682,deep_template
11,552,596,2352,2396,12,3.8298988342285156,258.3232555560558,True,75336682,deep_template
12,600,648,2400,2448,13,3.815579414367676,374.8579917979694,True,75336682,deep_template
13,652,696,2452,2496,12,5.324822425842285,444.2691153814719,True,75336682,deep_template
14,700,748,2500,2548,13,4.175491809844971,284.10128178728206,True,75336682,deep_template
15,752,796,2552,2596,12,8.274740219116211,536.6656578068976,True,75336682,deep_template
16,800,848,2600,2648,13,2.179415464401245,218.8485459568721,True,75336682,deep_template
17,852,896,2652,2696,12,5.971584320068359,190.55693153342636,True,75336682,deep_template
18,900,948,2700,2748,13,3.300335645675659,153.23258649956796,True,75336682,deep_template
19,952,996,2752,2796,12,2.601822853088379,164.87751451615088,True,75336682,deep_template
20,1000,1048,2800,2848,13,9.340636253356934,816.2609031590524,True,75336682,deep_template
21,1052,1096,2852,2896,12,1.833040475845337,38.66588894352092,True,75336682,deep_template
22,1100,1148,2900,2948,13,2.3924667835235596,150.4479423332367,True,75336682,deep_template
23,1152,1196,2952,2996,12,3.477503776550293,70.13463617542004,True,75336682,deep_template
24,1200,1248,3000,3048,13,4.291669845581055,84.47798660595356,True,75336682,deep_template
25,1252,1296,3052,3096,12,3.3037662506103516,74.25133497359188,True,75336682,deep_template
26,1300,1348,3100,3148,13,2.811734199523926,99.51865965133779,True,75336682,deep_template
27,1352,1396,3152,3196,12,4.026887893676758,127.38777545179819,True,75336682,deep_template
28,1400,1448,3200,3248,13,5.89631986618042,109.65665342176734,True,75336682,deep_template
29,1452,1496,3252,3296,12,5.061497688293457,216.24011124666526,True,75336682,deep_template
30,1500,1548,3300,3348,13,3.979280948638916,164.74302083248554,True,75336682,deep_template
31,1552,1596,3352,3396,12,2.5716466903686523,55.76102238023818,True,75336682,deep_template
32,1600,1648,3400,3448,13,2.6632254123687744,126.16727959775567,True,75336682,deep_template
33,1652,1696,3452,3496,12,3.9547271728515625,239.86131715426305,True,75336682,deep_template
34,1700,1748,3500,3548,13,4.242071628570557,244.1996741967459,True,75336682,deep_template
35,1752,1796,3552,3596,12,3.963524341583252,182.23071830793268,True,75336682,deep_template
36,1800,1848,3600,3648,13,3.5770010948181152,417.2216154678951,True,75336682,deep_template
37,1852,1896,3652,3696,12,3.109250545501709,65.4881363429754,True,75336682,deep_template
38,1900,1948,3700,3748,13,6.313647747039795,210.0129715735155,True,75336682,deep_template
39,1952,1996,3752,3796,12,5.177160739898682,493.2908990754586,True,75336682,deep_template
40,2000,2048,3800,3848,13,3.630091428756714,289.12906874646666,True,75336682,deep_template
41,2052,2096,3852,3896,12,2.9262754917144775,346.8341311596195,True,75336682,deep_template
42,2100,2148,3900,3948,13,4.913757801055908,100.26195996037222,True,75336682,deep_template
43,2152,2196,3952,3996,12,3.9392242431640625,111.03438997972498,True,75336682,deep_template
