block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.004100952235349804,12,PASS
1,90,175,90,175,18,18,0.003390795845999353,12,PASS
2,180,265,180,265,18,18,0.004249814286160336,12,PASS
3,270,355,270,355,18,18,0.0034446891978578585,12,PASS
4,360,445,360,445,18,18,0.0034381230447282003,12,PASS
5,450,535,450,535,18,18,0.0034076651474248473,12,PASS
6,540,625,540,625,18,18,0.004201259951731005,12,PASS
7,630,715,630,715,18,18,0.00397402957127954,12,PASS
8,720,805,720,805,18,18,0.003954264073171357,12,PASS
9,810,895,810,895,18,18,0.003920539433933152,12,PASS
